"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"N3A-T8A.N3A",1327.49999999999,-447826.135623543,450481.135623543,1
"TP-T8A.N3A",1960.00000000016,-447193.635623542,451113.635623543,1
"WT.N3A-T8A.N3A",4022.50000000006,-445131.135623543,453176.135623543,0.999999999998645
"T8A-T8A.N3A",4759.74999999998,-444393.885623543,453913.385623543,0.999999999995339
"WT-T8A.N3A",153917.5,-295236.135623542,603071.135623543,0.942193858199107
"WT.T8A-T8A.N3A",188650,-260503.635623542,637803.635623543,0.852515974075682
"TN-T8A.N3A",556362.5,107208.864376457,1005516.13562354,0.00822392442845199
"TP-N3A",632.500000000175,-448521.135623542,449786.135623543,1
"WT.N3A-N3A",2695.00000000007,-446458.635623543,451848.635623543,1
"T8A-N3A",3432.24999999999,-445721.385623543,452585.885623543,1
"WT-N3A",152590,-296563.635623542,601743.635623543,0.94463931744664
"WT.T8A-N3A",187322.5,-261831.135623542,636476.135623543,0.856841482808468
"TN-N3A",555035,105881.364376457,1004188.63562354,0.00841746339321847
"WT.N3A-TP",2062.4999999999,-447091.135623543,451216.135623543,1
"T8A-TP",2799.74999999982,-446353.885623543,451953.385623542,1
"WT-TP",151957.5,-297196.135623543,601111.135623543,0.945779808776399
"WT.T8A-TP",186690,-262463.635623543,635843.635623543,0.858878578658495
"TN-TP",554402.5,105248.864376457,1003556.13562354,0.00851122386781167
"T8A-WT.N3A",737.24999999992,-448416.385623543,449890.885623543,1
"WT-WT.N3A",149895,-299258.635623542,599048.635623543,0.949389135974684
"WT.T8A-WT.N3A",184627.5,-264526.135623543,633781.135623543,0.865413259073769
"TN-WT.N3A",552340,103186.364376457,1001493.63562354,0.00882405234718231
"WT-T8A",149157.75,-299995.885623542,598311.385623543,0.950638903816651
"WT.T8A-T8A",183890.25,-265263.385623542,633043.885623543,0.867708650082373
"TN-T8A",551602.75,102449.114376457,1000756.38562354,0.00893855521363485
"WT.T8A-WT",34732.4999999999,-414421.135623543,483886.135623543,0.999995098719916
"TN-WT",402445,-46708.6356235429,851598.635623542,0.102330174639179
"TN-WT.T8A",367712.5,-81441.1356235429,816866.135623542,0.167165975720209
