"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"N3A-T8A.N3A",0.00160912401820834,-0.224809351621795,0.228027599658211,1
"T8A-T8A.N3A",0.00356442882214691,-0.222854046817856,0.22998290446215,0.999999999924683
"WT.N3A-T8A.N3A",0.00948357004483462,-0.216934905595168,0.235902045684838,0.999999929987052
"TP-T8A.N3A",0.00948803672371992,-0.216930438916283,0.235906512363723,0.999999929757094
"WT.T8A-T8A.N3A",0.144182546348462,-0.0822359292915409,0.370601021988465,0.43727259573115
"WT-T8A.N3A",0.152582940097693,-0.0738355355423098,0.379001415737696,0.368822867278323
"TN-T8A.N3A",0.678971330689121,0.452552855049118,0.905389806329124,1.45394754014205e-08
"T8A-N3A",0.00195530480393857,-0.224463170836064,0.228373780443942,0.999999999998978
"WT.N3A-N3A",0.00787444602662628,-0.218544029613377,0.234292921666629,0.999999980841843
"TP-N3A",0.00787891270551158,-0.218539562934491,0.234297388345515,0.999999980765915
"WT.T8A-N3A",0.142573422330254,-0.0838450533097493,0.368991897970257,0.450994463366989
"WT-N3A",0.150973816079485,-0.0754446595605181,0.377392291719488,0.381481647004483
"TN-N3A",0.677362206670913,0.45094373103091,0.903780682310916,1.52240853257268e-08
"WT.N3A-T8A",0.00591914122268771,-0.220499334417315,0.232337616862691,0.999999997387963
"TP-T8A",0.00592360790157302,-0.22049486773843,0.232342083541576,0.999999997374162
"WT.T8A-T8A",0.140618117526315,-0.0858003581136878,0.367036593166318,0.467892006320402
"WT-T8A",0.149018511275546,-0.0773999643644567,0.375436986915549,0.397165808992448
"TN-T8A",0.675406901866974,0.448988426226971,0.901825377506977,1.61009727772665e-08
"TP-WT.N3A",4.46667888530372e-06,-0.226414008961118,0.226422942318888,1
"WT.T8A-WT.N3A",0.134698976303627,-0.0917194993363755,0.36111745194363,0.520281586262933
"WT-WT.N3A",0.143099370052859,-0.0833191055871444,0.369517845692862,0.446490385373074
"TN-WT.N3A",0.669487760644287,0.443069285004284,0.89590623628429,1.90871578542584e-08
"WT.T8A-TP",0.134694509624742,-0.0917239660152608,0.361112985264745,0.520321689896598
"WT-TP",0.143094903373973,-0.0833235722660297,0.369513379013976,0.446528560322653
"TN-TP",0.669483293965401,0.443064818325398,0.895901769605404,1.90896154439457e-08
"WT-WT.T8A",0.00840039374923113,-0.218018081890772,0.234818869389234,0.999999969927902
"TN-WT.T8A",0.534788784340659,0.308370308700656,0.761207259980662,1.18041809016312e-06
"TN-WT",0.526388390591428,0.299969914951425,0.752806866231431,1.55161342252352e-06
