"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"N3A-T8A.N3A",1815.00000000006,-3134668.42594945,3138298.42594945,1
"WT.N3A-T8A.N3A",11829.9999999996,-3124653.42594945,3148313.42594945,1
"TP-T8A.N3A",14023.2500000009,-3122460.17594945,3150506.67594945,1
"T8A-T8A.N3A",32473.2500000001,-3104010.17594945,3168956.67594945,0.999999999996048
"WT-T8A.N3A",1057312.5,-2079170.92594945,4193795.92594945,0.946753793013163
"WT.T8A-T8A.N3A",1130300,-2006183.42594945,4266783.42594945,0.92606683127512
"TN-T8A.N3A",5072746,1936262.57405054,8209229.42594945,0.000389401420976654
"WT.N3A-N3A",10014.9999999995,-3126468.42594945,3146498.42594945,1
"TP-N3A",12208.2500000008,-3124275.17594945,3148691.67594945,1
"T8A-N3A",30658.2500000001,-3105825.17594945,3167141.67594945,0.99999999999739
"WT-N3A",1055497.5,-2080985.92594945,4191980.92594945,0.947212245032671
"WT.T8A-N3A",1128485,-2007998.42594945,4264968.42594945,0.926635384117083
"TN-N3A",5070931,1934447.57405054,8207414.42594945,0.000391232123903018
"TP-WT.N3A",2193.25000000128,-3134290.17594945,3138676.67594946,1
"T8A-WT.N3A",20643.2500000006,-3115840.17594945,3157126.67594945,1
"WT-WT.N3A",1045482.5,-2091000.92594945,4181965.92594946,0.94969423909603
"WT.T8A-WT.N3A",1118470,-2018013.42594945,4254953.42594945,0.929722426388348
"TN-WT.N3A",5060916,1924432.57405054,8197399.42594945,0.00040149034585224
"T8A-TP",18449.9999999993,-3118033.42594945,3154933.42594945,1
"WT-TP",1043289.25,-2093194.17594945,4179772.67594945,0.950227058066117
"WT.T8A-TP",1116276.75,-2020206.67594945,4252760.17594945,0.930387159080563
"TN-TP",5058722.75,1922239.32405054,8195206.17594945,0.000403772677346925
"WT-T8A",1024839.25,-2111644.17594945,4161322.67594945,0.954558300633843
"WT.T8A-T8A",1097826.75,-2038656.67594945,4234310.17594945,0.93581878436374
"TN-T8A",5040272.75,1903789.32405054,8176756.17594945,0.000423495204682656
"WT.T8A-WT",72987.4999999991,-3063495.92594945,3209470.92594945,0.999999998841695
"TN-WT",4015433.5,878950.074050543,7151916.92594945,0.00592092271278943
"TN-WT.T8A",3942446,805962.574050544,7078929.42594945,0.00711985544584604
