"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",1991.00000000076,-6727340.5420252,6731322.5420252,1
"TP-T8A.N3A",4877.50000000058,-6724454.0420252,6734209.0420252,1
"WT.N3A-T8A.N3A",6327.50000000023,-6723004.0420252,6735659.0420252,1
"N3A-T8A.N3A",9579.99999999942,-6719751.5420252,6738911.5420252,1
"WT.T8A-T8A.N3A",377925.000000001,-6351406.5420252,7107256.5420252,0.999999462300096
"WT-T8A.N3A",382375.000000002,-6346956.5420252,7111706.5420252,0.999999416832127
"TN-T8A.N3A",11889424,5160092.4579748,18618755.5420252,0.000116533431457899
"TP-T8A",2886.49999999983,-6726445.0420252,6732218.0420252,1
"WT.N3A-T8A",4336.49999999948,-6724995.0420252,6733668.0420252,1
"N3A-T8A",7588.99999999866,-6721742.5420252,6736920.5420252,1
"WT.T8A-T8A",375934,-6353397.5420252,7105265.5420252,0.999999481642025
"WT-T8A",380384.000000001,-6348947.5420252,7109715.5420252,0.999999437564773
"TN-T8A",11887433,5158101.4579748,18616764.5420252,0.000116810520341293
"WT.N3A-TP",1449.99999999965,-6727881.5420252,6730781.5420252,1
"N3A-TP",4702.49999999884,-6724629.0420252,6734034.0420252,1
"WT.T8A-TP",373047.5,-6356284.0420252,7102379.0420252,0.999999508627797
"WT-TP",377497.500000001,-6351834.0420252,7106829.0420252,0.999999466504211
"TN-TP",11884546.5,5155214.9579748,18613878.0420252,0.000117213420191109
"N3A-WT.N3A",3252.49999999919,-6726079.0420252,6732584.0420252,1
"WT.T8A-WT.N3A",371597.5,-6357734.0420252,7100929.0420252,0.999999521725123
"WT-WT.N3A",376047.500000001,-6353284.0420252,7105379.0420252,0.999999480555595
"TN-WT.N3A",11883096.5,5153764.9579748,18612428.0420252,0.000117416342258814
"WT.T8A-N3A",368345.000000001,-6360986.5420252,7097676.5420252,0.999999550024577
"WT-N3A",372795.000000002,-6356536.5420252,7102126.5420252,0.999999510930292
"TN-N3A",11879844,5150512.4579748,18609175.5420252,0.000117872810532216
"WT-WT.T8A",4450.00000000093,-6724881.5420252,6733781.5420252,1
"TN-WT.T8A",11511499,4782167.4579748,18240830.5420252,0.000183102473154007
"TN-WT",11507049,4777717.4579748,18236380.5420252,0.0001840814780254
