"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",0.00011265557110246,-0.0464485595683293,0.0466738707105342,1
"N3A-T8A.N3A",0.00049281052706257,-0.0460684046123692,0.0470540256664944,0.999999999995379
"WT.N3A-T8A.N3A",0.000498554657019284,-0.0460626604824125,0.0470597697964511,0.999999999994973
"TP-T8A.N3A",0.000682818768907453,-0.0458783963705243,0.0472440339083392,0.99999999995415
"WT.T8A-T8A.N3A",0.0269112357030558,-0.019649979436376,0.0734724508424876,0.554927334384797
"WT-T8A.N3A",0.0273402977965855,-0.0192209173428462,0.0739015129360173,0.536027449190857
"TN-T8A.N3A",0.943961626976268,0.897400411836836,0.9905228421157,2.09832151654155e-14
"N3A-T8A",0.00038015495596011,-0.0461810601834717,0.0469413700953919,0.999999999999359
"WT.N3A-T8A",0.000385899085916824,-0.046175316053515,0.0469471142253486,0.999999999999263
"TP-T8A",0.000570163197804993,-0.0459910519416268,0.0471313783372368,0.999999999987057
"WT.T8A-T8A",0.0267985801319533,-0.0197626350074785,0.0733597952713851,0.559904400960647
"WT-T8A",0.0272276422254831,-0.0193335729139487,0.0737888573649149,0.540979939638448
"TN-T8A",0.943848971405165,0.897287756265734,0.990410186544597,2.09832151654155e-14
"WT.N3A-N3A",5.74412995671403e-06,-0.0465554710094751,0.0465669592693885,1
"TP-N3A",0.000190008241844883,-0.0463712068975869,0.0467512233812767,1
"WT.T8A-N3A",0.0264184251759932,-0.0201427899634386,0.072979640315425,0.576729005194667
"WT-N3A",0.026847487269523,-0.0197137278699088,0.0734087024089548,0.55774309503746
"TN-N3A",0.943468816449205,0.896907601309773,0.990030031588637,2.09832151654155e-14
"TP-WT.N3A",0.000184264111888169,-0.0463769510275436,0.04674547925132,1
"WT.T8A-WT.N3A",0.0264126810460365,-0.0201485340933953,0.0729738961854683,0.576983472756675
"WT-WT.N3A",0.0268417431395663,-0.0197194719998655,0.073402958278998,0.557996892616676
"TN-WT.N3A",0.943463072319249,0.896901857179817,0.99002428745868,2.09832151654155e-14
"WT.T8A-TP",0.0262284169341483,-0.0203327982052834,0.0727896320735801,0.58514851962758
"WT-TP",0.0266574790276781,-0.0199037361117537,0.0732186941671099,0.566144604618712
"TN-TP",0.94327880820736,0.896717593067929,0.989840023346792,2.09832151654155e-14
"WT-WT.T8A",0.000429062093529754,-0.046132153045902,0.0469902772329615,0.999999999998312
"TN-WT.T8A",0.917050391273212,0.87048917613378,0.963611606412644,2.09832151654155e-14
"TN-WT",0.916621329179682,0.87006011404025,0.963182544319114,2.09832151654155e-14
