Mouse,Tissue,Cell Count,Infection,Sample:,Lymphocytes,Singlets,Live Cells,B220F480Neg,CD8+,CD8+CD45-_Freq,CD8+CD45-_Norm_Freq,CD8+CD45-_Norm_Num,CD8n_N3ATotal_Freq,CD8n_N3ATotal_Num,CD8n_T8ATotal_Freq,CD8n_T8ATotal_Num,CD8n_WTTotal_Freq,CD8n_WTTotal_Num,N3A Neg,T8A Neg,WT Neg,CD8n_TriplePos_Freq,CD8n_TriplePos_Num,CD8n_N3AT8ADP_Freq,CD8n_N3AT8ADP_Num,CD8n_N3AWTDP_Freq,CD8n_N3AWTDP_Num,CD8n_N3ASP_Freq,CD8n_N3ASP_Num,CD8n_WTT8ADP_Freq,CD8n_WTT8ADP_Num,CD8n_T8ASP_Freq,CD8n_T8ASP_Num,CD8n_WTSP_Freq,CD8n_WTSP_Num,Triple Neg,Triple Neg_Num
105,Lungs,2.29E+07,Primary N3A ,Controls_M1LNTW_012.fcs,73.9,92.1,79.3,69.3,41.4,87.3,60.4989,7.48E+06,18,1.35E+06,0.31,2.32E+04,1.05,7.85E+04,82,99.7,99,0.21,1.57E+04,0,0.00E+00,0.56,4.19E+04,17.2,1.29E+06,0.044,3.29E+03,0.059,4.41E+03,0.24,1.79E+04,81.7,6.11E+06
107,Lungs,1.82E+07,Primary N3A ,Controls_M2LNTW_014.fcs,68.4,90,79,63.3,38.2,79.2,50.1336,4.44E+06,3.61,1.60E+05,0.92,4.08E+04,2.08,9.23E+04,96.4,99.1,97.9,0.64,2.84E+04,0,0.00E+00,0.67,2.97E+04,2.3,1.02E+05,0.21,9.32E+03,0.064,2.84E+03,0.56,2.48E+04,95.6,4.24E+06
109,Lungs,1.49E+07,Primary N3A ,Controls_M3LNTW_016.fcs,60.4,89.6,71.3,76.3,44.6,78.5,59.8955,3.44E+06,27.5,9.47E+05,0.25,8.61E+03,0.85,2.93E+04,72.5,99.7,99.1,0.12,4.13E+03,0.039,1.34E+03,0.47,1.62E+04,26.9,9.26E+05,0.019,6.54E+02,0.078,2.69E+03,0.25,8.61E+03,72.2,2.49E+06
105,Spleen ,4.20E+07,Primary N3A ,Controls_M1SNTW_018.fcs,78.4,94.6,93.4,55.6,29.8,70.3,39.0868,1.14E+07,0.2,2.27E+04,0.05,5.69E+03,0.25,2.84E+04,99.8,100,99.8,0.025,2.84E+03,0,0.00E+00,0.074,8.42E+03,0.099,1.13E+04,0,0.00E+00,0.025,2.84E+03,0.15,1.71E+04,99.6,1.13E+07
107,Spleen ,7.50E+07,Primary N3A ,Controls_M2SNTW_020.fcs,83.4,94.7,95.3,43.1,24.2,65.7,28.3167,1.60E+07,0.43,6.87E+04,0.16,2.56E+04,0.81,1.29E+05,99.6,99.8,99.2,0.039,6.23E+03,0,0.00E+00,0.39,6.23E+04,0,0.00E+00,0.12,1.92E+04,0,0.00E+00,0.27,4.32E+04,99.2,1.59E+07
109,Spleen ,6.00E+07,Primary N3A ,Controls_M3SNTW_022.fcs,82.7,95.7,94.8,39.3,40.2,68.9,27.0777,1.22E+07,0.17,2.07E+04,0.098,1.19E+04,0.32,3.90E+04,99.8,99.9,99.7,0.098,1.19E+04,0,0.00E+00,0.049,5.97E+03,0.024,2.93E+03,0,0.00E+00,0,0.00E+00,0.17,2.07E+04,99.7,1.22E+07
82,Lungs,1.74E+07,Memory N3A ,NTW_M1LNTW_017.fcs,23.1,84.4,74.9,75.1,3.33,49.3,37.0243,9.41E+05,10.3,9.69E+04,2.16,2.03E+04,3.02,2.84E+04,89.7,97.8,97,1.29,1.21E+04,0.43,4.05E+03,1.72,1.62E+04,6.9,6.49E+04,0,0.00E+00,0.43,4.05E+03,0,0.00E+00,89.2,8.39E+05
82,Spleen ,1.67E+07,Memory N3A ,NTW_M1SNTW_020.fcs,80.8,93.1,88.3,43.7,20.7,69,30.153,3.34E+06,0.96,3.21E+04,0.27,9.03E+03,0.81,2.71E+04,99,99.7,99.2,0.23,7.69E+03,0,0.00E+00,0.23,7.69E+03,0.5,1.67E+04,0.038,1.27E+03,0,0.00E+00,0.31,1.04E+04,98.7,3.30E+06
83,Lungs,1.67E+07,Memory N3A ,NTW_M2LNTW_018.fcs,15.1,87,65,75.8,4.24,53.2,40.3256,5.75E+05,6.06,3.48E+04,0.87,5.00E+03,1.73,9.95E+03,93.9,99.1,98.3,0.43,2.47E+03,0,0.00E+00,0.87,5.00E+03,4.76,2.74E+04,0.43,2.47E+03,0,0.00E+00,0,0.00E+00,93.5,5.38E+05
83,Spleen ,6.26E+07,Memory N3A ,NTW_M2SNTW_021.fcs,74.5,93.7,88.9,38.7,21.1,57.3,22.1751,8.61E+06,0.15,1.29E+04,0,0.00E+00,0.44,3.79E+04,99.9,100,99.6,0,0.00E+00,0,0.00E+00,0.073,6.29E+03,0.073,6.29E+03,0,0.00E+00,0,0.00E+00,0.37,3.19E+04,99.5,8.57E+06
114,Lungs,1.13E+07,Memory N3A ,NTW_M3LNTW_019.fcs,16.9,80.3,73.6,82.7,3.31,42.9,35.4783,4.00E+05,5.45,2.18E+04,0.64,2.56E+03,1.28,5.13E+03,94.6,99.4,98.7,0,0.00E+00,0,0.00E+00,0.64,2.56E+03,4.81,1.93E+04,0,0.00E+00,0.64,2.56E+03,0.64,2.56E+03,93.3,3.74E+05
114,Spleen ,8.31E+07,Memory N3A ,NTW_M3SNTW_022.fcs,66.2,93.5,91,55.4,11.6,64.2,35.5668,1.66E+07,0.66,1.10E+05,0,0.00E+00,0.28,4.66E+04,99.3,100,99.7,0,0.00E+00,0,0.00E+00,0.22,3.66E+04,0.44,7.33E+04,0,0.00E+00,0,0.00E+00,0.055,9.16E+03,99.3,1.65E+07
116,BAL,3.73E+06,N3AWT,NTW_M1_BAL_NTW_021.fcs,67.3,90.8,93.7,93.5,67.9,99.6,93.126,1.99E+06,26.7,5.31E+05,6.45,1.28E+05,31.4,6.25E+05,73.3,93.5,68.6,5.91,1.18E+05,1.93E-03,3.84E+01,20.2,4.02E+05,0.56,1.11E+04,0.29,5.77E+03,0.25,4.97E+03,5.03,1.00E+05,67.8,1.35E+06
116,Lungs,4.36E+07,N3AWT,NTW_M1_L_NTW_018.fcs,46.5,90.8,91.8,84.4,69,90.5,76.382,1.29E+07,39,5.03E+06,4,5.16E+05,22.4,2.89E+06,61,96,77.6,3.58,4.62E+05,0.057,7.36E+03,16,2.07E+06,19.4,2.50E+06,0.27,3.49E+04,0.088,1.14E+04,2.56,3.30E+05,58,7.49E+06
116,Spleen ,1.03E+08,N3AWT,NTW_M1_S_NTW_022.fcs,78.4,93.7,94.8,57.9,44.5,22.4,12.9696,9.30E+06,4.93,4.59E+05,1.23,1.14E+05,5.74,5.34E+05,95.1,98.8,94.3,0.97,9.02E+04,0,0.00E+00,3.78,3.52E+05,0.18,1.67E+04,0.26,2.42E+04,0,0.00E+00,0.73,6.79E+04,94.1,8.75E+06
118,Lungs,3.30E+07,N3AWT,NTW_M2_L_NTW_019.fcs,35.8,90.3,91.9,94.7,72.8,89.1,84.3777,8.27E+06,43.3,3.58E+06,6.31,5.22E+05,20.7,1.71E+06,56.7,93.7,79.3,6,4.96E+05,0.024,1.99E+03,12.3,1.02E+06,25,2.07E+06,0.26,2.15E+04,0.028,2.32E+03,2.11,1.75E+05,54.3,4.49E+06
118,Spleen ,1.32E+08,N3AWT,NTW_M2_S_NTW_023.fcs,78.3,93.1,94.9,64,31.3,19.5,12.48,1.14E+07,7.7,8.78E+05,2.61,2.97E+05,8.86,1.01E+06,92.3,97.4,91.1,2.4,2.74E+05,0,0.00E+00,5,5.70E+05,0.3,3.42E+04,0.21,2.39E+04,0,0.00E+00,1.26,1.44E+05,90.8,1.03E+07
119,Lungs,2.66E+07,N3AWT,NTW_M3_L_NTW_020.fcs,62.6,90.5,94.5,92.7,72.5,89.3,82.7811,1.18E+07,48.8,5.75E+06,11.3,1.33E+06,15.2,1.79E+06,51.2,88.7,84.8,8.32,9.81E+05,0.13,1.53E+04,2.76,3.25E+05,37.6,4.43E+06,2.83,3.34E+05,0.03,3.54E+03,1.25,1.47E+05,47.1,5.55E+06
119,Spleen ,5.90E+07,N3AWT,NTW_M3_S_NTW_024.fcs,79.9,93.6,95.6,52.6,42.6,31.8,16.7268,7.06E+06,0.63,4.45E+04,4.23,2.98E+05,5.55,3.92E+05,99.4,95.8,94.4,0.31,2.19E+04,0.016,1.13E+03,0.15,1.06E+04,0.16,1.13E+04,3.89,2.74E+05,0.016,1.13E+03,1.21,8.54E+04,94.3,6.65E+06
115,Lungs,3.24E+07,N3AT8A,NTW_M1L NTW_021.fcs,53.9,91.5,85.5,86.7,65.3,89.8,77.8566,1.06E+07,24.5,2.61E+06,0.42,4.47E+04,0.21,2.23E+04,75.5,99.6,99.8,0.03,3.19E+03,0.072,7.66E+03,0.027,2.87E+03,24.3,2.58E+06,0.12,1.28E+04,0.19,2.02E+04,0.027,2.87E+03,75.2,8.00E+06
115,Spleen ,6.25E+07,N3AT8A,NTW_M1S NTW_025.fcs,67.6,95.3,98.6,42.2,43.9,51.9,21.9018,8.70E+06,0.075,6.52E+03,0.83,7.22E+04,0.33,2.87E+04,99.9,99.2,99.7,3.77E-03,3.28E+02,0,0.00E+00,0.011,9.56E+02,0.06,5.22E+03,0.26,2.26E+04,0.57,4.96E+04,0.057,4.96E+03,99,8.61E+06
111,BAL,7.60E+05,N3AT8A,NTW_M2B NTW_029.fcs,25.1,91.6,85,80.8,57.9,92.9,75.0632,1.11E+05,2,2.23E+03,1.01,1.13E+03,0.35,3.90E+02,98,99,99.7,0.11,1.23E+02,0.15,1.67E+02,0.14,1.56E+02,1.61,1.79E+03,0.03,3.34E+01,0.72,8.03E+02,0.069,7.69E+01,97.2,1.08E+05
111,Lungs,3.76E+07,N3AT8A,NTW_M2L NTW_022.fcs,58.6,93.1,88.3,82.4,58.8,96.4,79.4336,1.44E+07,28.6,4.11E+06,0.78,1.12E+05,0.58,8.35E+04,71.4,99.2,99.4,0.14,2.01E+04,0.31,4.46E+04,0.29,4.17E+04,27.8,4.00E+06,0.074,1.06E+04,0.25,3.60E+04,0.077,1.11E+04,71,1.02E+07
