Mouse,Cell Count,Tissue,Infection,Sample:,Lymphocytes,Singlets,Live Cells,F480 B220 Negative,CD8n_Freq,CD8n_Norm_Freq,CD8n_Num,CD8n_N3A_Total_Freq,CD8n_N3A_Total_Num,CD8n_T8ATotalFreq,CD8p_T8ATotal_Num,CD8p_WTTotal_Freq,CD8p_WTTotal_Num,CD8p_TriplePos_Freq,CD8p_TriplePos_Num,CD8p_N3AT8ADP_Freq,CD8p_N3AT8ADP_Num,CD8p_WTN3ADP_Freq,CD8p_WTN3ADP_Num,CD8p_WTT8ADP_Freq,CD8p_WTT8ADP_Num,CD8p_WTSP_Freq,CD8p_WTSP_Num,CD8p_N3ASP_Freq,CD8p_N3ASP_Num,CD8p_T8ASP_Freq,CD8p_T8ASP_Num
16,1.45E+07,Lungs,T8A Primary,Tetramer Stain For Phenotype_M1L_NTW_018.fcs,37,80.3,65.6,41.8,69,28.842,8.15E+05,0,0.00E+00,9.4,7.66E+04,1.57,1.28E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.63,5.14E+03,0.94,7.66E+03,0,0.00E+00,8.78,7.16E+04
16,9.49E+07,Spleen,T8A Primary,Tetramer Stain For Phenotype_M1S_NTW_032.fcs,72.8,86.7,80.8,69.4,45.8,31.7852,1.54E+07,0,0.00E+00,13.8,2.12E+06,0.63,9.69E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.63,9.69E+04,0,0.00E+00,13.8,2.12E+06
18,1.54E+07,Lungs,T8A Primary,Tetramer Stain For Phenotype_M2L_NTW_019.fcs,35.3,84.8,74.1,29.3,76.1,22.2973,7.62E+05,0.17,1.29E+03,14.9,1.13E+05,13.7,1.04E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,11.7,8.91E+04,2.01,1.53E+04,0.17,1.29E+03,3.18,2.42E+04
18,1.07E+08,Spleen,T8A Primary,Tetramer Stain For Phenotype_M2S_NTW_033.fcs,75.7,93.3,76.5,72.1,54.7,39.4387,2.28E+07,0,0.00E+00,12.5,2.85E+06,11.7,2.67E+06,0,0.00E+00,0,0.00E+00,0,0.00E+00,11.3,2.58E+06,0.4,9.12E+04,0,0.00E+00,1.21,2.76E+05
19,1.17E+07,Lungs,T8A Primary,Tetramer Stain For Phenotype_M3L_NTW_020.fcs,34.4,85.5,75,27.9,85.8,23.9382,6.18E+05,9.57,5.91E+04,3.55,2.19E+04,2.31,1.43E+04,0.15,9.27E+02,0.15,9.27E+02,0.15,9.27E+02,1.08,6.67E+03,0.93,5.75E+03,9.1,5.62E+04,2.16,1.33E+04
19,7.10E+07,Spleen ,T8A Primary,Tetramer Stain For Phenotype_M3S_NTW_034.fcs,74.7,93.5,72,78.9,51.6,40.7124,1.45E+07,0,0.00E+00,3.57,5.19E+05,0.89,1.29E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.89,1.29E+05,0,0.00E+00,0,0.00E+00,2.68,3.90E+05
29,4.00E+05,BAL,T8A Primary,Tetramer Stain For Phenotype_M4BAL_NTW_028.fcs,25.5,94.3,66.3,39.1,100,39.1,2.49E+04,0.12,2.99E+01,5.25,1.31E+03,0.37,9.23E+01,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.37,9.23E+01,0.12,2.99E+01,5.25,1.31E+03
29,1.13E+07,Lungs,T8A Primary,Tetramer Stain For Phenotype_M4L_NTW_021.fcs,34.4,85.6,73.5,42.6,77.6,33.0576,8.08E+05,0,0.00E+00,2.69,2.17E+04,1.35,1.09E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,1.35,1.09E+04,0,0.00E+00,2.69,2.17E+04
29,5.65E+07,Spleen ,T8A Primary,Tetramer Stain For Phenotype_M4S_NTW_035.fcs,76.8,93.8,74.9,77.1,52.2,40.2462,1.23E+07,0.56,6.87E+04,8.43,1.03E+06,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.56,6.87E+04,8.43,1.03E+06
38,4.40E+05,BAL ,T8A Primary,Tetramer Stain For Phenotype_M5BAL_NTW_029.fcs,31.8,92.8,70.3,87.8,99.7,87.5366,7.99E+04,0.46,3.68E+02,3.2,2.56E+03,0.42,3.36E+02,0.37,2.96E+02,0,0.00E+00,9.83E-03,7.85E+00,0.039,3.12E+01,0,0.00E+00,0.079,6.31E+01,2.78,2.22E+03
