Mouse ,Tissue,Cell Count ,Infection ,Sample:,Lymphocytes,Singlets,Live Cells,B220F480Neg,CD8+,CD8+CD45+,CD8p_Norm_Freq,CD8p_Norm_Num,CD8p_M6ITotal_Freq,CD8p_M6ITotal_Num,CD8p_M6VTotal_Freq,CD8p_M6VTotal_Num,CD8p_WTTotal_Freq,CD8p_WTTotal_Num,M6I neg,M6V Neg,WT Neg,CD8p_TriplePos_Freq,CD8p_TriplePos_Num,CD8p_M6IM6VDP_Freq,CD8p_M6IM6VDP_Num,CD8p_M6IWTDP_Freq,CD8p_M6IWTDP_Num,CD8p_M6ISP_Freq,CD8p_M6ISP_Num,CD8p_M6VWTDP_Freq,CD8p_M6VWTDP_Num,CD8p_M6VSP_Freq,CD8p_M6VSP_Num,CD8p_WTSP_Freq,CD8p_WTSP_Num,TripleNeg,TripleNeg_Num
105,Lungs,2.29E+07,Primary N3A ,Controls_M1LMMW_013.fcs,67.2,93.7,82.3,67,41.3,11.8,7.906,9.38E+05,5.33,5.00E+04,0,0.00E+00,4.15,3.89E+04,94.7,100,95.9,0,0.00E+00,0,0.00E+00,0.24,2.25E+03,5.09,4.78E+04,0,0.00E+00,0,0.00E+00,3.91,3.67E+04,90.8,8.52E+05
107,Lungs,1.82E+07,Primary N3A ,Controls_M2LMMW_015.fcs,62.9,90.6,81.1,62.9,38.5,19.4,12.2026,1.03E+06,0.83,8.52E+03,0,0.00E+00,4.34,4.45E+04,99.2,100,95.7,0,0.00E+00,0,0.00E+00,0.092,9.44E+02,0.74,7.60E+03,0,0.00E+00,0,0.00E+00,4.24,4.35E+04,94.9,9.74E+05
109,Lungs,1.49E+07,Primary N3A ,Controls_M3LMMW_017.fcs,57.2,90.7,76.5,75.6,45.5,20.3,15.3468,9.08E+05,9.75,8.85E+04,0.51,4.63E+03,1.3,1.18E+04,90.2,99.5,98.7,0,0.00E+00,0,0.00E+00,0,0.00E+00,9.75,8.85E+04,0.51,4.63E+03,0,0.00E+00,0.79,7.17E+03,88.9,8.07E+05
105,Spleen ,4.20E+07,Primary N3A ,Controls_M1SMMW_019.fcs,78.6,94.6,94.1,55.4,31.6,20.8,11.5232,3.39E+06,0,0.00E+00,0,0.00E+00,1.65,5.59E+04,100,100,98.3,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,1.65,5.59E+04,98.3,3.33E+06
107,Spleen ,7.50E+07,Primary N3A ,Controls_M2SMMW_021.fcs,83.9,94.9,95.5,41.7,25.6,20.2,8.4234,4.80E+06,0,0.00E+00,0.12,5.76E+03,2.92,1.40E+05,100,99.9,97.1,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.12,5.76E+03,2.92,1.40E+05,97,4.66E+06
109,Spleen ,6.00E+07,Primary N3A ,Controls_M3SMMW_023.fcs,85.6,95.9,95.4,39.1,41.6,21.2,8.2892,3.89E+06,0.15,5.84E+03,0.22,8.57E+03,1.55,6.04E+04,99.9,99.8,98.4,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.15,5.84E+03,0.15,5.84E+03,0.074,2.88E+03,1.41,5.49E+04,98.2,3.82E+06
82,Lungs,1.74E+07,Memory N3A ,MMW_M1LMMW_023.fcs,21.8,85.7,80.1,62.1,3.83,44.2,27.4482,7.15E+05,7.87,5.62E+04,1.12,8.00E+03,2.81,2.01E+04,92.1,98.9,97.2,0,0.00E+00,0,0.00E+00,0.56,4.00E+03,7.3,5.22E+04,0,0.00E+00,1.12,8.00E+03,2.25,1.61E+04,88.8,6.35E+05
82,Spleen ,1.67E+07,Memory N3A ,MMW_M1SMMW_026.fcs,68.7,96,94.1,42.7,22.4,26.7,11.4009,1.18E+06,0.18,2.13E+03,0.18,2.13E+03,0.99,1.17E+04,99.8,99.8,99,0,0.00E+00,0,0.00E+00,0.18,2.13E+03,0,0.00E+00,0,0.00E+00,0.18,2.13E+03,0.81,9.57E+03,98.8,1.17E+06
83,Lungs,1.67E+07,Memory N3A ,MMW_M2LMMW_024.fcs,16,81.8,71.5,65.2,6.55,44.7,29.1444,4.55E+05,7.98,3.63E+04,0,0.00E+00,0.42,1.91E+03,92,100,99.6,0,0.00E+00,0,0.00E+00,0,0.00E+00,7.98,3.63E+04,0,0.00E+00,0,0.00E+00,0.42,1.91E+03,91.6,4.17E+05
83,Spleen ,6.26E+07,Memory N3A ,MMW_M2SMMW_027.fcs,70.4,93.6,95.3,35.9,22.2,33,11.847,4.66E+06,0,0.00E+00,0.1,4.66E+03,1.21,5.64E+04,100,99.9,98.8,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.1,4.66E+03,1.21,5.64E+04,98.7,4.60E+06
