Mouse ,Tissue,Cell Count ,Infection ,Sample:,Lymphocytes,Singlets,Live Cells,B220F480Neg,CD8+,CD8+CD45+,CD8n_Norm_Freq,CD8n_Norm_Num,CD8n_M6ITotal_Freq,CD8n_M6ITotal_Num,CD8n_M6VTotal_Freq,CD8n_M6VTotal_Num,CD8n_WTTotal_Freq,CD8n_WTTotal_Num,M6I neg,M6V Neg,WT Neg,CD8n_TriplePos_Freq,CD8n_TriplePos_Num,CD8n_M6IM6VDP_Freq,CD8n_M6IM6VDP_Num,CD8n_M6IWTDP_Freq,CD8n_M6IWTDP_Num,CD8n_M6ISP_Freq,CD8n_M6ISP_Num,CD8n_M6VWTDP_Freq,CD8n_M6VWTDP_Num,CD8n_M6VSP_Freq,CD8n_M6VSP_Num,CD8n_WTSP_Freq,CD8n_WTSP_Num,TripleNeg,TripleNeg_Num
105,Lungs,2.29E+07,Primary N3A ,Controls_M1LMMW_013.fcs,67.2,93.7,82.3,67,41.3,88,58.96,7.00E+06,13,9.10E+05,0.13,9.10E+03,0.92,6.44E+04,87,99.9,99.1,0.016,1.12E+03,0,0.00E+00,0.13,9.10E+03,12.8,8.96E+05,0.048,3.36E+03,0.063,4.41E+03,0.73,5.11E+04,86.2,6.03E+06
107,Lungs,1.82E+07,Primary N3A ,Controls_M2LMMW_015.fcs,62.9,90.6,81.1,62.9,38.5,79.3,49.8797,4.20E+06,1.13,4.74E+04,0.023,9.65E+02,2.21,9.27E+04,98.9,100,97.8,0,0.00E+00,0,0.00E+00,0.09,3.78E+03,1.04,4.36E+04,0,0.00E+00,0.023,9.65E+02,2.12,8.89E+04,96.7,4.06E+06
109,Lungs,1.49E+07,Primary N3A ,Controls_M3LMMW_017.fcs,57.2,90.7,76.5,75.6,45.5,79.4,60.0264,3.55E+06,21.6,7.67E+05,0.11,3.90E+03,1.24,4.40E+04,78.4,99.9,98.8,0.018,6.39E+02,0,0.00E+00,0.2,7.10E+03,21.4,7.60E+05,0.074,2.63E+03,0.018,6.39E+02,0.94,3.34E+04,77.4,2.75E+06
105,Spleen ,4.20E+07,Primary N3A ,Controls_M1SMMW_019.fcs,78.6,94.6,94.1,55.4,31.6,70.8,39.2232,1.15E+07,0,0.00E+00,0.023,2.65E+03,0.21,2.42E+04,100,100,99.8,0.00E+00,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.023,2.65E+03,0.21,2.42E+04,99.8,1.15E+07
107,Spleen ,7.50E+07,Primary N3A ,Controls_M2SMMW_021.fcs,83.9,94.9,95.5,41.7,25.6,68.6,28.6062,1.63E+07,0.036,5.87E+03,0,0.00E+00,0.68,1.11E+05,100,100,99.3,0.00E+00,0.00E+00,0,0.00E+00,0,0.00E+00,0.036,5.87E+03,0,0.00E+00,0,0.00E+00,0.68,1.11E+05,99.3,1.62E+07
109,Spleen ,6.00E+07,Primary N3A ,Controls_M3SMMW_023.fcs,85.6,95.9,95.4,39.1,41.6,69.2,27.0572,1.27E+07,0.068,8.65E+03,0.045,5.72E+03,0.41,5.21E+04,99.9,100,99.6,0.00E+00,0.00E+00,0,0.00E+00,0.023,2.92E+03,0.045,5.72E+03,0.023,2.92E+03,0.023,2.92E+03,0.36,4.58E+04,99.5,1.27E+07
82,Lungs,1.74E+07,Memory N3A ,MMW_M1LMMW_023.fcs,21.8,85.7,80.1,62.1,3.83,53.8,33.4098,8.70E+05,6.91,6.01E+04,11.5,1.00E+05,14.7,1.28E+05,93.1,88.5,85.3,0,0.00E+00,0,0.00E+00,0.92,8.00E+03,5.99,5.21E+04,10.1,8.79E+04,1.38,1.20E+04,3.69,3.21E+04,77.9,6.78E+05
82,Spleen ,1.67E+07,Memory N3A ,MMW_M1SMMW_026.fcs,68.7,96,94.1,42.7,22.4,62.8,26.8156,2.78E+06,0.038,1.06E+03,0.077,2.14E+03,0.92,2.56E+04,100,99.9,99.1,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.038,1.06E+03,0.038,1.06E+03,0.038,1.06E+03,0.88,2.45E+04,99,2.75E+06
83,Lungs,1.67E+07,Memory N3A ,MMW_M2LMMW_024.fcs,16,81.8,71.5,65.2,6.55,52.6,34.2952,5.36E+05,6.43,3.45E+04,12.5,6.70E+04,12.5,6.70E+04,93.6,87.5,87.5,0,0.00E+00,0,0.00E+00,0.36,1.93E+03,6.07,3.25E+04,10.7,5.73E+04,1.79,9.59E+03,1.43,7.66E+03,79.6,4.27E+05
83,Spleen ,6.26E+07,Memory N3A ,MMW_M2SMMW_027.fcs,70.4,93.6,95.3,35.9,22.2,57.7,20.7143,8.14E+06,0.35,2.85E+04,0.12,9.77E+03,0.52,4.23E+04,99.7,99.9,99.5,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.35,2.85E+04,0.058,4.72E+03,0.058,4.72E+03,0.46,3.75E+04,99.1,8.07E+06
114,Lungs,1.13E+07,Memory N3A ,MMW_M3LMMW_025.fcs,18.1,86.4,80.7,65.4,5.75,36.4,23.8056,3.39E+05,3.33,1.13E+04,5.83,1.98E+04,7.5,2.55E+04,96.7,94.2,92.5,0,0.00E+00,0,0.00E+00,0,0.00E+00,3.33,1.13E+04,5.83,1.98E+04,0,0.00E+00,1.67,5.67E+03,89.2,3.03E+05
114,Spleen ,8.31E+07,Memory N3A ,MMW_M3SMMW_028.fcs,80.2,91.9,91,45,13.4,62.2,27.99,1.56E+07,0.057,8.89E+03,0,0.00E+00,0.45,7.02E+04,99.9,100,99.5,0,0.00E+00,0,0.00E+00,0.057,8.89E+03,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.4,6.24E+04,99.5,1.55E+07
116,BAL,3.73E+06,N3AWT,MMW_M1_BAL_MMW_028.fcs,64.5,90.2,93.6,93.1,66,99.5,92.6345,1.88E+06,0.63,1.19E+04,0.25,4.70E+03,31.9,6.00E+05,99.4,99.7,68.1,0.013,2.45E+02,5.19E-03,9.77E+01,0.3,5.64E+03,0.31,5.83E+03,0.23,4.33E+03,0.01,1.88E+02,31.3,5.89E+05,67.8,1.28E+06
116,Lungs,4.36E+07,N3AWT,MMW_M1_L_MMW_025.fcs,50.6,90.7,92.6,84.6,67.4,88.9,75.2094,1.39E+07,22.7,3.16E+06,0.22,3.07E+04,24,3.34E+06,77.3,99.8,76,0.038,5.30E+03,0.024,3.34E+03,5.96,8.31E+05,16.7,2.33E+06,0.12,1.67E+04,0.036,5.02E+03,17.9,2.49E+06,59.3,8.26E+06
116,Spleen ,1.03E+08,N3AWT,MMW_M1_S_MMW_029.fcs,78.8,93.3,95,58.9,43.5,21.2,12.4868,8.98E+06,0.65,5.84E+04,0.065,5.84E+03,6.67,5.99E+05,99.4,99.9,93.3,0,0.00E+00,0,0.00E+00,0.26,2.34E+04,0.39,3.50E+04,0.022,1.98E+03,0.043,3.86E+03,6.39,5.74E+05,92.9,8.35E+06
118,Lungs,3.30E+07,N3AWT,MMW_M2_L_MMW_026.fcs,36.4,90.8,92.5,94.7,73.1,89.2,84.4724,8.52E+06,32.8,2.80E+06,0.27,2.30E+04,21,1.79E+06,67.2,99.7,79,0.079,6.73E+03,0.041,3.49E+03,6.9,5.88E+05,25.7,2.19E+06,0.046,3.92E+03,0.1,8.52E+03,14,1.19E+06,53.1,4.53E+06
118,Spleen ,1.32E+08,N3AWT,MMW_M2_S_MMW_030.fcs,77.2,94.6,95.2,62.9,31.9,20.6,12.9574,1.19E+07,0.67,7.97E+04,0,0.00E+00,6.77,8.05E+05,99.3,100,93.2,0,0.00E+00,0,0.00E+00,0.28,3.33E+04,0.39,4.64E+04,0,0.00E+00,0,0.00E+00,6.49,7.72E+05,92.8,1.10E+07
119,Lungs,2.66E+07,N3AWT,MMW_M3_L_MMW_027.fcs,59.5,90.6,94.5,92.1,72.2,89.1,82.0611,1.11E+07,47,5.23E+06,1.54,1.71E+05,15.9,1.77E+06,53,98.5,84.1,0.68,7.56E+04,0.097,1.08E+04,7.19,8.00E+05,39.1,4.35E+06,0.68,7.56E+04,0.089,9.90E+03,7.38,8.21E+05,44.8,4.98E+06
119,Spleen ,5.90E+07,N3AWT,MMW_M3_S_MMW_031.fcs,79.3,93.9,95.6,52.6,41.7,31.1,16.3586,6.87E+06,0.34,2.34E+04,0.13,8.93E+03,4.87,3.35E+05,99.7,99.9,95.1,0.017,1.17E+03,0,0.00E+00,0.17,1.17E+04,0.15,1.03E+04,0.1,6.87E+03,0.017,1.17E+03,4.58,3.15E+05,95,6.53E+06
115,Lungs,3.24E+07,N3AT8A,MMW_M1L MMW_030.fcs,52.3,91.2,86.5,87.3,64.7,90,78.57,1.05E+07,36,3.78E+06,0.2,2.10E+04,0.3,3.15E+04,64,99.8,99.7,0.022,2.31E+03,0.03,3.15E+03,0.07,7.35E+03,35.9,3.77E+06,0.04,4.20E+03,0.1,1.05E+04,0.17,1.79E+04,63.7,6.69E+06
115,Spleen ,6.25E+07,N3AT8A,MMW_M1S MMW_034.fcs,56.5,98,98.1,41.9,40.2,49.8,20.8662,7.08E+06,1.01,7.15E+04,0.069,4.89E+03,1.04,7.37E+04,99,99.9,99,0.011,7.79E+02,0,0.00E+00,0.33,2.34E+04,0.66,4.68E+04,0.034,2.41E+03,0.023,1.63E+03,0.66,4.68E+04,98.3,6.96E+06
111,BAL,7.60E+05,N3AT8A,MMW_M2B MMW_038.fcs,25.7,92.4,83.8,82.5,54.9,93.6,77.22,1.17E+05,0.64,7.47E+02,0.055,6.42E+01,1.17,1.37E+03,99.4,99.9,98.8,5.52E-03,6.45E+00,5.52E-03,6.45E+00,0.1,1.17E+02,0.52,6.07E+02,0.028,3.27E+01,0.017,1.99E+01,1.03,1.20E+03,98.3,1.15E+05
111,Lungs,3.76E+07,N3AT8A,MMW_M2L MMW_031.fcs,58.4,92.6,89.3,82,59.6,96.4,79.048,1.44E+07,38.3,5.50E+06,0.18,2.58E+04,1.18,1.69E+05,61.7,99.8,98.8,0.022,3.16E+03,0.027,3.88E+03,0.6,8.61E+04,37.6,5.40E+06,0.034,4.88E+03,0.097,1.39E+04,0.52,7.46E+04,61.1,8.77E+06
111,Spleen ,6.06E+07,N3AT8A,MMW_M2S MMW_035.fcs,65.3,94,98.4,48.4,37.8,65.3,31.6052,1.16E+07,0.71,8.21E+04,0.041,4.74E+03,1.65,1.91E+05,99.3,100,98.3,0.019,2.20E+03,3.14E-03,3.63E+02,0.31,3.59E+04,0.37,4.28E+04,0,0.00E+00,0.019,2.20E+03,1.32,1.53E+05,98,1.13E+07
112,Lungs,4.63E+07,N3AT8A,MMW_M3L MMW_032.fcs,46.1,88.9,85.1,85.7,61.7,94.9,81.3293,1.31E+07,28.7,3.77E+06,0.14,1.84E+04,1.67,2.19E+05,71.3,99.9,98.3,0.018,2.36E+03,0.034,4.47E+03,0.56,7.35E+04,28.1,3.69E+06,0.026,3.41E+03,0.057,7.49E+03,1.06,1.39E+05,70.1,9.21E+06
112,Spleen ,5.17E+07,N3AT8A,MMW_M3S MMW_036.fcs,67.4,94.7,98.5,49.9,39.2,51.6,25.7484,8.37E+06,0.62,5.19E+04,0.039,3.26E+03,1.99,1.67E+05,99.4,100,98,8.60E-03,7.20E+02,0,0.00E+00,0.28,2.34E+04,0.32,2.68E+04,0,0.00E+00,0.03,2.51E+03,1.7,1.42E+05,97.7,8.18E+06
114,Lungs,3.71E+07,N3AT8A,MMW_M4L MMW_033.fcs,49,90.3,85.8,90.4,60.8,89.4,80.8176,1.14E+07,32.3,3.68E+06,0.11,1.25E+04,3.88,4.42E+05,67.7,99.9,96.1,0.021,2.39E+03,0.013,1.48E+03,1.24,1.41E+05,31,3.53E+06,0.016,1.82E+03,0.06,6.83E+03,2.59,2.95E+05,65,7.40E+06
114,Spleen ,4.35E+07,N3AT8A,MMW_M4S MMW_037.fcs,82.2,94.8,98.7,45.6,40.2,72.2,32.9232,1.10E+07,0.061,6.72E+03,4.06E-03,4.47E+02,1.76,1.94E+05,99.9,100,98.2,0,0.00E+00,0,0.00E+00,0.018,1.98E+03,0.043,4.74E+03,0,0.00E+00,4.06E-03,4.47E+02,1.74,1.92E+05,98.2,1.08E+07
89,BAL,3.18E+06,N3AN3A,MMW_MMW_BAL_M1_022.fcs,86.3,96,87.4,99.1,79,99.9,99.0009,2.28E+06,1.53,3.49E+04,0.19,4.33E+03,16.3,3.72E+05,98.5,99.8,83.7,8.82E-03,2.01E+02,0,0.00E+00,1.49,3.40E+04,0.028,6.38E+02,0.16,3.65E+03,0.019,4.33E+02,14.7,3.35E+05,83.6,1.91E+06
89,Lungs,5.96E+07,N3AN3A,MMW_MMW_L_M1_019.fcs,68.4,93.5,78.1,92.9,74.5,87.5,81.2875,2.42E+07,31.9,7.72E+06,0.23,5.57E+04,16,3.87E+06,68.1,99.8,84,0.036,8.71E+03,6.62E-03,1.60E+03,5.72,1.38E+06,26.2,6.34E+06,0.13,3.15E+04,0.06,1.45E+04,10.1,2.44E+06,57.8,1.40E+07
92,Lungs,4.40E+07,N3AN3A,MMW_MMW_L_M2_020.fcs,74.3,92.3,72.7,94.9,71.8,93.6,88.8264,1.95E+07,28,5.46E+06,0.59,1.15E+05,2.56,4.99E+05,72,99.4,97.4,0.06,1.17E+04,0.066,1.29E+04,0.8,1.56E+05,27.1,5.28E+06,0.13,2.53E+04,0.33,6.43E+04,1.57,3.06E+05,70,1.36E+07
97,Lungs,6.20E+07,N3AN3A,MMW_MMW_L_M3_021.fcs,44,92.4,71.8,85.1,63.7,90,76.59,1.39E+07,27.8,3.85E+06,0.33,4.57E+04,3.67,5.09E+05,72.2,99.7,96.3,0.042,5.82E+03,0.014,1.94E+03,0.98,1.36E+05,26.7,3.70E+06,0.14,1.94E+04,0.13,1.80E+04,2.51,3.48E+05,69.5,9.63E+06
89,Spleen ,1.33E+08,N3AN3A,MMW_MMW_S_M1_023.fcs,81.9,96.4,96.5,57,43.9,40,22.8,2.31E+07,1.09,2.52E+05,0.053,1.22E+04,7.88,1.82E+06,98.9,99.9,92.1,0,0.00E+00,0,0.00E+00,1.01,2.33E+05,0.079,1.83E+04,0.013,3.00E+03,0.039,9.01E+03,6.86,1.58E+06,92,2.13E+07
