Mouse ,Cell Count ,Tissue,Infection,Sample:,Lymphocytes,Singlets,Live Cells,F480 B220 neg,CD8p_Freq,CD8p_Norm_Freq,CD8p_Num,CD8p_M6ITotal_Freq,CD8p_M6ITotal_Num,CD8p_M6VTotal_Freq,CD8p_M6VTotal_Num,CD8p_WTTotal_Freq,CD8p_WTTotal_Num,CD8p_TriplePos_Freq,CD8p_TriplePos_Num,CD8p_M6IM6VDP_Freq,CD8p_M6IM6VDP_Num,CD8p_WTM6IDP_Freq ,CD8p_WTM6IDP_Num,CD8p_WTM6IDP_Num,CD8p_WTM6VDP_Freq,CD8p_WTSP_Freq,CD8p_WTSP_Num,CD8p_M6ISP_Freq,CD8p_M6ISP_Num,CD8p_M6VSP_Freq,CD8p_M6VSP_Num,,,,,,,,,,,,,,,,,,,,
16,1.45E+07,Lungs,T8A Primary,Tetramer Stain For Phenotype_M1L_MMW_023.fcs,36.5,82.1,68.6,42.7,24.8,10.5896,3.16E+05,6.41,2.02E+04,1.28,4.04E+03,6.41,2.02E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,6.41,2.02E+04,6.41,2.02E+04,1.28,4.04E+03,,,,,,,,,,,,,,,,,,,,
16,9.49E+07,Spleen ,T8A Primary,Tetramer Stain For Phenotype_M1S_MMW_037.fcs,74.1,93.7,80,69.7,27.9,19.4463,1.03E+07,2.46,2.52E+05,2.46,2.52E+05,4.1,4.20E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.82,8.41E+04,3.28,3.36E+05,2.46,2.52E+05,1.64,1.68E+05,,,,,,,,,,,,,,,,,,,,
18,1.54E+07,Lungs,T8A Primary,Tetramer Stain For Phenotype_M2L_MMW_024.fcs,36.8,83.5,76.6,30,20.2,6.06,2.20E+05,10,2.20E+04,10,2.20E+04,35.3,7.75E+04,7.06,1.55E+04,0,0.00E+00,2.94,6.46E+03,2.94,6.46E+03,22.4,4.92E+04,0,0.00E+00,0,0.00E+00,,,,,,,,,,,,,,,,,,,,
18,1.07E+08,Spleen ,T8A Primary,Tetramer Stain For Phenotype_M2S_MMW_038.fcs,75.5,93,76.3,71.2,17.9,12.7448,7.31E+06,4.23,3.09E+05,4.23,3.09E+05,21.1,1.54E+06,2.82,2.06E+05,0,0.00E+00,1.41,1.03E+05,1.41,1.03E+05,15.5,1.13E+06,0,0.00E+00,0,0.00E+00,,,,,,,,,,,,,,,,,,,,
19,1.17E+07,Lungs,T8A Primary,Tetramer Stain For Phenotype_M3L_MMW_025.fcs,34.4,87.4,76.8,30.6,10.9,3.3354,9.01E+04,7.78,7.01E+03,1.11,1.00E+03,7.78,7.01E+03,0,0.00E+00,0,0.00E+00,0,0.00E+00,1.11,1.00E+03,6.67,6.01E+03,7.78,7.01E+03,0,0.00E+00,,,,,,,,,,,,,,,,,,,,
19,7.10E+07,Spleen ,T8A Primary,Tetramer Stain For Phenotype_M3S_MMW_039.fcs,73.9,93.6,72.1,78.5,22.2,17.427,6.17E+06,0,0.00E+00,2.38,1.47E+05,4.76,2.94E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,2.38,1.47E+05,2.38,1.47E+05,0,0.00E+00,0,0.00E+00,,,,,,,,,,,,,,,,,,,,
29,4.00E+05,BAL,T8A Primary,Tetramer Stain For Phenotype_M4BAL_MMW_030.fcs,28.5,93.8,69.9,40.1,0,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,,,,,,,,,,,,,,,,,,,,
29,1.13E+07,Lungs,T8A Primary,Tetramer Stain For Phenotype_M4L_MMW_026.fcs,34.4,80.9,73.8,42.9,21.8,9.3522,2.17E+05,4.72,1.02E+04,0.79,1.71E+03,1.57,3.41E+03,0,0.00E+00,0.79,1.71E+03,0,0.00E+00,0,0.00E+00,1.57,3.41E+03,3.94,8.55E+03,0,0.00E+00,,,,,,,,,,,,,,,,,,,,
29,5.65E+07,Spleen ,T8A Primary,Tetramer Stain For Phenotype_M4S_MMW_040.fcs,78.4,94.2,74.6,77.9,19.2,14.9568,4.66E+06,1.82,8.47E+04,1.82,8.47E+04,3.64,1.69E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,1.82,8.47E+04,1.82,8.47E+04,1.82,8.47E+04,0,0.00E+00,,,,,,,,,,,,,,,,,,,,
38,4.40E+05,BAL ,T8A Primary,Tetramer Stain For Phenotype_M5BAL_MMW_031.fcs,30.7,92.8,70.5,25.5,0,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,,,,,,,,,,,,,,,,,,,,
