Mouse ,Cell Count ,Tissue,Condition ,Sample:,Lymphocytes,Singlets,Live Cells,F480 B220 neg,CD8n_Freq,CD8n_Norm_Freq,CD8n_Num,CD8n_M6ITotal_Freq,CD8n_M6ITotal_Num,CD8n_M6VTotal_Freq,CD8n_M6VTotal_Num,CD8n_WTTotal_Freq,CD8n_WTTotal_Num,CD8n_TriplePos_Freq,CD8n_TriplePos_Num,CD8n_M6IM6VDP_Freq,CD8n_M6IM6VDP_Num,CD8n_WTM6IDP_Freq ,CD8n_WTM6IDP_Num ,CD8n_WTM6VDP_Freq,CD8n_WTM6VDP_Num,CD8p_WTSP_Freq,CD8p_WTSP_Num,CD8n_M6ISP_Freq,CD8n_M6ISP_Num,CD8n_M6VSP_Freq,CD8n_M6VSP_Num
239,2.12E+07,Spleen,WT Primary,Tetramer Stains_M1SMMW_031.fcs,73,91.4,76.8,48.3,53.5,25.8405,2.81E+06,0.024,6.74E+02,0.44,1.34E+08,0.54,7.18E+05,0.016,2.13E+04,0,0.00E+00,8.09E-03,1.08E+04,0.016,2.13E+04,0.5,1.40E+04,0,0.00E+00,0.41,1.15E+04
240,1.35E+07,Spleen,WT Primary,Tetramer Stains_M2SMMW_032.fcs,79.3,93.8,81.7,50.4,61.9,31.1976,2.56E+06,0.025,6.40E+02,0.59,1.62E+08,2.12,2.26E+06,6.33E-03,6.76E+03,0,0.00E+00,6.33E-03,6.76E+03,0.051,5.44E+04,2.06,5.27E+04,0.013,3.33E+02,0.54,1.38E+04
241,2.60E+07,Spleen,WT Primary,Tetramer Stains_M3SMMW_033.fcs,76.8,92.7,82.9,50.2,60.4,30.3208,4.65E+06,7.43E-03,3.46E+02,0.57,5.26E+08,1.84,1.05E+06,0,0.00E+00,0,0.00E+00,7.43E-03,4.23E+03,0.037,2.11E+04,1.8,8.37E+04,0,0.00E+00,0.54,2.51E+04
242,9.37E+06,Spleen,WT Primary,Tetramer Stains_M4SMMW_034.fcs,77.5,91.6,73.8,46.3,70.5,32.6415,1.60E+06,6.68E-03,1.07E+02,0.51,6.02E+07,1.19,2.94E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.04,9.88E+02,1.15,1.84E+04,6.68E-03,1.07E+02,0.47,7.53E+03
243,2.12E+07,Spleen,WT Primary,Tetramer Stains_M5SMMW_035.fcs,74.6,93,85.2,52.8,52.8,27.8784,3.49E+06,0.015,5.24E+02,0.67,3.29E+08,1.05,9.00E+05,0.015,1.29E+04,0,0.00E+00,0,0.00E+00,0.083,7.11E+04,0.95,3.32E+04,0,0.00E+00,0.57,1.99E+04
239,1.23E+07,Lungs,WT Primary,Tetramer Stains_M1LMMW_017.fcs,58.6,87.8,88.4,77.8,86.9,67.6082,3.78E+06,8.25,3.12E+05,0.9,1.69E+09,9.39,6.61E+12,0.019,1.34E+10,0.061,4.29E+10,0.54,3.80E+11,0.24,1.69E+11,8.59,3.25E+05,7.63,2.89E+05,0.57,2.16E+04
240,2.00E+05,BAL ,WT Primary,Tetramer Stains_M2BALMMW_024.fcs,47.1,94.7,54.3,96.1,99.5,95.6195,4.63E+04,0,0.00E+00,0.68,3.13E+05,8.26,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.17,0.00E+00,8.09,3.75E+03,0,0.00E+00,0.51,2.36E+02
240,9.94E+06,Lungs,WT Primary,Tetramer Stains_M2LMMW_018.fcs,45.1,78.7,81.8,85.6,84.2,72.0752,2.08E+06,1.68,3.49E+04,1.13,9.93E+08,16,1.18E+11,0.01,7.37E+07,0.013,9.58E+07,0.24,1.77E+09,0.3,2.21E+09,15.4,3.20E+05,1.41,2.93E+04,0.81,1.68E+04
241,9.12E+06,Lungs,WT Primary,Tetramer Stains_M3LMMW_019.fcs,49.5,85,85.6,82.2,82.1,67.4862,2.22E+06,3.19,7.07E+04,0.95,7.49E+08,16.5,4.17E+11,0.01,2.53E+08,0.045,1.14E+09,0.48,1.21E+10,0.25,6.32E+09,15.8,3.50E+05,2.65,5.87E+04,0.65,1.44E+04
242,2.70E+05,BAL ,WT Primary,Tetramer Stains_M4BALMMW_025.fcs,44.9,95,45.9,93.9,99.2,93.1488,4.92E+04,0.16,7.88E+01,0.9,4.77E+05,4.82,7.46E+03,0,0.00E+00,0,0.00E+00,0.16,2.48E+02,0.16,2.48E+02,4.49,2.21E+03,0,0.00E+00,0.74,3.64E+02
242,9.61E+06,Lungs,WT Primary,Tetramer Stains_M4LMMW_020.fcs,44.8,83.1,74.4,85.2,80.2,68.3304,1.82E+06,4.3,7.82E+04,1.05,6.38E+08,9.22,2.97E+11,6.08E-03,1.96E+08,0.055,1.77E+09,0.26,8.38E+09,0.17,5.48E+09,8.79,1.60E+05,3.98,7.24E+04,0.82,1.49E+04
243,7.71E+06,Lungs,WT Primary,Tetramer Stains_M5LMMW_021.fcs,52.4,87.7,84.3,85.8,83.9,71.9862,2.15E+06,4.46,9.59E+04,2.09,1.51E+09,9.44,4.04E+11,0.089,3.81E+09,0.075,3.21E+09,0.33,1.41E+10,0.75,3.21E+10,8.27,1.78E+05,3.97,8.54E+04,1.17,2.52E+04
234,2.37E+07,Spleen,WT Mem,Tetramer_Stains_M1S_MMW_017.fcs,48.5,91.4,0.65,47.7,71.9,34.2963,2.34E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00
235,8.76E+07,Spleen,WT Mem,Tetramer_Stains_M2S_MMW_018.fcs,68.1,95.4,66.3,62.5,73.7,46.0625,1.74E+07,0,0.00E+00,0,0.00E+00,0.53,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.53,9.21E+04,0,0.00E+00,0,0.00E+00
