Mouse ,Tissue,Cell Count ,Infection ,Sample:,Lymphocytes,Singlets,Live Cells,B220F480Neg,CD8+,CD8+CD45-_Freq,CD8+CD45-_Norm_Freq,CD8+CD45-_Norm_Num,CD8p_N3ATotal_Freq,CD8p_N3ATotal_Num,CD8p_T8ATotal_Freq,CD8p_T8ATotal_Num,CD8p_WTTotal_Freq,CD8p_WTTotal_Num,N3A Neg,T8A Neg,WT Neg,CD8p_TriplePos_Freq,CD8p_TriplePos_Num,CD8p_N3AT8ADP_Freq,CD8p_N3AT8ADP_Num,CD8p_N3AWTDP_Freq,CD8p_N3AWTDP_Num,CD8p_N3ASP_Freq,CD8p_N3ASP_Num,CD8p_WTT8ADP_Freq,CD8p_WTT8ADP_Num,CD8p_T8ASP_Freq,CD8p_T8ASP_Num,CD8p_WTSP_Freq,CD8p_WTSP_Num,Triple Neg,Triple Neg_Num
105,Lungs,2.29E+07,Primary N3A ,Controls_M1LNTW_012.fcs,73.9,92.1,79.3,69.3,41.4,12.6,8.7318,1.08E+06,12.5,1.35E+05,0.1,1.08E+03,2.66,2.87E+04,87.5,99.9,97.3,0,0.00E+00,0.1,1.08E+03,1.94,2.09E+04,10.4,1.12E+05,0,0.00E+00,0,0.00E+00,0.72,7.77E+03,86.8,9.37E+05
107,Lungs,1.82E+07,Primary N3A ,Controls_M2LNTW_014.fcs,68.4,90,79,63.3,38.2,20.3,12.8499,1.14E+06,5.2,5.91E+04,0.75,8.53E+03,3.19,3.63E+04,94.8,99.2,96.8,0.34,3.87E+03,0,0.00E+00,1.76,2.00E+04,3.1,3.53E+04,0.25,2.84E+03,0.17,1.93E+03,0.84,9.55E+03,93.5,1.06E+06
109,Lungs,1.49E+07,Primary N3A ,Controls_M3LNTW_016.fcs,60.4,89.6,71.3,76.3,44.6,21.4,16.3282,9.39E+05,14.2,1.33E+05,0.29,2.72E+03,1.85,1.74E+04,85.8,99.7,98.1,0.29,2.72E+03,0,0.00E+00,1.5,1.41E+04,12.4,1.16E+05,0,0.00E+00,0,0.00E+00,0.071,6.67E+02,85.7,8.05E+05
105,Spleen ,4.20E+07,Primary N3A ,Controls_M1SNTW_018.fcs,78.4,94.6,93.4,55.6,29.8,25.9,14.4004,4.19E+06,1.21,5.07E+04,98.8,4.14E+06,0.34,1.42E+04,1.07,99.7,98.9,0,0.00E+00,0,0.00E+00,0.6,2.51E+04,0.6,2.51E+04,0,0.00E+00,0.34,1.42E+04,0.47,1.97E+04,98,4.11E+06
107,Spleen ,7.50E+07,Primary N3A ,Controls_M2SNTW_020.fcs,83.4,94.7,95.3,43.1,24.2,29.4,12.6714,7.15E+06,0.87,6.22E+04,99.1,7.09E+06,1.65,1.18E+05,2.43,98.4,97.6,0.17,1.22E+04,0.087,6.22E+03,0.52,3.72E+04,0.087,6.22E+03,0.78,5.58E+04,0.61,4.36E+04,0.95,6.80E+04,96.8,6.92E+06
109,Spleen ,6.00E+07,Primary N3A ,Controls_M3SNTW_022.fcs,82.7,95.7,94.8,39.3,40.2,27.6,10.8468,4.88E+06,1.22,5.96E+04,98.8,4.82E+06,0.86,4.20E+04,1.04,99.1,99,0.49,2.39E+04,0,0.00E+00,0.31,1.51E+04,0.43,2.10E+04,0,0.00E+00,0.37,1.81E+04,0.24,1.17E+04,98.2,4.80E+06
82,Lungs,1.74E+07,Memory N3A ,NTW_M1LNTW_017.fcs,23.1,84.4,74.9,75.1,3.33,49.3,37.0243,9.41E+05,3.45,3.25E+04,0.86,8.09E+03,0.86,8.09E+03,96.6,99.1,99.1,0,0.00E+00,0,0.00E+00,0,0.00E+00,3.45,3.25E+04,0.86,8.09E+03,0,0.00E+00,0,0.00E+00,95.7,9.00E+05
82,Spleen ,1.67E+07,Memory N3A ,NTW_M1SNTW_020.fcs,80.8,93.1,88.3,43.7,20.7,20.5,8.9585,9.94E+05,1.43,1.42E+04,0.65,6.46E+03,0.78,7.75E+03,98.6,99.4,99.2,0.52,5.17E+03,0.13,1.29E+03,0,0.00E+00,0.78,7.75E+03,0,0.00E+00,0,0.00E+00,0.26,2.58E+03,98.3,9.77E+05
83,Lungs,1.67E+07,Memory N3A ,NTW_M2LNTW_018.fcs,15.1,87,65,75.8,4.24,43.5,32.973,4.70E+05,2.65,1.25E+04,0,0.00E+00,0,0.00E+00,97.4,100,100,0,0.00E+00,0,0.00E+00,0,0.00E+00,2.65,1.25E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,97.4,4.58E+05
83,Spleen ,6.26E+07,Memory N3A ,NTW_M2SNTW_021.fcs,74.5,93.7,88.9,38.7,21.1,40.1,15.5187,6.03E+06,0.21,1.27E+04,0.1,6.03E+03,0.84,5.06E+04,99.8,99.9,99.2,0,0.00E+00,0,0.00E+00,0.21,1.27E+04,0,0.00E+00,0,0.00E+00,0.1,6.03E+03,0.63,3.80E+04,99.1,5.97E+06
