Challenge,WT,T8A,N3A,WT+T8A,WT+N3A,T8A+N3A,TP,TN
Primary,0.002393048128342246,0.000589572192513369,0.17245989304812834,0.00043983957219251334,0.0056016042780748666,0.0,0.0020989304812834226,0.8164171122994652
Primary,0.005585585585585586,0.0006396396396396397,0.022972972972972974,0.0020990990990990993,0.006689189189189189,0.0,0.006396396396396396,0.9556171171171172
Primary,0.002502906976744186,0.0007819767441860465,0.2691860465116279,0.00019011627906976745,0.0047093023255813955,0.00038953488372093023,0.0012005813953488373,0.721039534883721
Memory,0.0,0.004303931987247609,0.06896918172157279,0.0,0.017215727948990435,0.004303931987247609,0.0128586609989373,0.8923485653560043
Memory,0.0,0.0,0.04765217391304348,0.004295652173913043,0.008695652173913044,0.0,0.004295652173913043,0.9350608695652174
Memory,0.0064,0.0064,0.04825,0.0,0.0064,0.0,0.0,0.93255
WT challenge,0.02558139534883721,0.0008837209302325581,0.1937984496124031,0.0027054263565891475,0.16046511627906976,0.0005705426356589148,0.035813953488372095,0.5801813953488372
WT challenge,0.021160822249093107,0.0002805320435308343,0.2503022974607013,0.002599758162031439,0.12333736396614269,0.00024062877871825877,0.05997581620314389,0.5421027811366385
WT challenge,0.012457627118644067,0.0003,0.37542372881355934,0.028305084745762713,0.02754237288135593,0.0012966101694915253,0.08313559322033898,0.47153898305084746
T8A challenge,0.0002707547169811321,0.0019056603773584906,0.24339622641509434,0.0012075471698113208,0.0002707547169811321,0.0007226415094339622,0.0003009433962264151,0.7519254716981132
T8A challenge,0.0007708333333333333,0.0025,0.2777777777777778,0.0007361111111111111,0.002895833333333333,0.003097222222222222,0.0013958333333333333,0.7108263888888889
T8A challenge,0.003904761904761905,0.002,0.18888888888888888,0.0026984126984126986,0.0026984126984126986,0.0006103174603174603,0.0058015873015873015,0.7933976190476191
T8A challenge,0.0002991150442477876,0.0017964601769911504,0.2247787610619469,0.02566371681415929,0.00046902654867256636,0.0004884955752212389,0.01336283185840708,0.733141592920354
N3A challenge,0.0054918032786885245,0.0017049180327868853,0.1721311475409836,0.01110655737704918,0.13237704918032786,0.0005491803278688524,0.005614754098360656,0.6710245901639345
N3A challenge,0.00094,0.001695,0.2905,0.001795,0.01645,0.00076,0.001495,0.686365
N3A challenge,0.0015034013605442177,0.0013061224489795918,0.19387755102040816,0.003108843537414966,0.020272108843537414,0.0019047619047619048,0.007823129251700681,0.7702040816326531
