Challenge,WT,T8A,N3A,WT+T8A,WT+N3A,T8A+N3A,TP,TN
Primary,17900,4410,1290000,3290,41900,0,15700,6106800
Primary,24800,2840,102000,9320,29700,0,28400,4242940
Primary,8610,2690,926000,654,16200,1340,4130,2480376
Memory,0,4050,64900,0,16200,4050,12100,839700
Memory,0,0,27400,2470,5000,0,2470,537660
Memory,2560,2560,19300,0,2560,0,0,373020
WT challenge,330000,11400,2500000,34900,2070000,7360,462000,7484340
WT challenge,175000,2320,2070000,21500,1020000,1990,496000,4483190
WT challenge,147000,3540,4430000,334000,325000,15300,981000,5564160
T8A challenge,2870,20200,2580000,12800,2870,7660,3190,7970410
T8A challenge,11100,36000,4000000,10600,41700,44600,20100,10235900
T8A challenge,49200,25200,2380000,34000,34000,7690,73100,9996810
T8A challenge,3380,20300,2540000,290000,5300,5520,151000,8284500
N3A challenge,134000,41600,4200000,271000,3230000,13400,137000,16373000
N3A challenge,18800,33900,5810000,35900,329000,15200,29900,13727300
N3A challenge,22100,19200,2850000,45700,298000,28000,115000,11322000
