Challenge,WT,T8A,WT+T8A,N3A,WT+N3A,T8A+N3A,TP,TN
Primary,19700,14200,0,25100,25100,0,0,4105900
Memory,2580,0,0,7750,0,1290,5170,977210
WT,1050000,18700,168000,32000,6240000,0,1620000,17571300
T8A,2000,77600,36400,9100,667,0,0,5934233
N3A,341000,117000,271000,293000,6530000,0,6420,20341580
Primary,68000,43600,55800,6220,37200,6220,12200,6920760
Memory,38000,6030,0,0,12700,0,0,5973270
WT,3260000,6840,137000,55600,9200000,0,3520000,26620560
T8A,6670,98300,5780,18200,6670,4180,1380,4308820
N3A,7130,0,1190,478000,15300,0,0,2138380
Primary,11700,18100,0,21000,15100,0,23900,4790200
Memory,9340,0,0,55300,0,0,0,7115360
WT,539000,47900,3570000,45400,112000,2330,439000,7544370
T8A,152000,47600,60200,18600,13700,1810,9300,5166790
N3A,77100,10300,81300,203000,610000,10300,15200,20392800
T8A,1930,7250,140000,4760,1100,0,1100,1913860
