Mouse ,Cell Count ,Tissue,T8A Primary,Sample:,Lymphocytes,Singlets,Live Cells,F480 B220 neg,CD8n_Freq,CD8n_Norm_Freq,CD8n_Num,CD8n_M6ITotal_Freq,CD8n_M6ITotal_Num,CD8n_M6VTotal_Freq,CD8n_M6VTotal_Num,CD8n_WTTotal_Freq,CD8n_WTTotal_Num,CD8n_TriplePos_Freq,CD8n_TriplePos_Num,CD8n_M6IM6VDP_Freq,CD8n_M6IM6VDP_Num,CD8n_WTM6IDP_Freq ,CD8n_WTM6IDP_Num,CD8n_WTM6IDP_Num,CD8n_WTM6VDP_Freq,CD8n_WTSP_Freq,CD8n_WTSP_Freq,CD8n_M6ISP_Freq,CD8n_M6ISP_Num,CD8n_M6VSP_Freq,CD8n_M6VSP_Num,,,,,,,,,,,,,,,,,,,,,
16,1.45E+07,Lungs,T8A Primary,Tetramer Stain For Phenotype_M1L_MMW_023.fcs,36.5,82.1,68.6,42.7,73.2,31.2564,9.32E+05,13.5,1.26E+05,0,0.00E+00,5.22,4.86E+04,0,0.00E+00,0,0.00E+00,1.3,1.21E+04,0,0.00E+00,3.91,3.64E+04,12.2,1.14E+05,0,0.00E+00,,,,,,,,,,,,,,,,,,,,,
16,9.49E+07,Spleen ,T8A Primary,Tetramer Stain For Phenotype_M1S_MMW_037.fcs,74.1,93.7,80,69.7,47.4,33.0378,1.74E+07,1.93,3.36E+05,0.48,8.36E+04,0.97,1.69E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.97,1.69E+05,1.93,3.36E+05,0.48,8.36E+04,,,,,,,,,,,,,,,,,,,,,
18,1.54E+07,Lungs,T8A Primary,Tetramer Stain For Phenotype_M2L_MMW_024.fcs,36.8,83.5,76.6,30,77.7,23.31,8.45E+05,13.3,1.12E+05,2.6,2.20E+04,13.1,1.11E+05,2.14,1.81E+04,0,0.00E+00,3.36,2.84E+04,0.46,3.89E+03,7.19,6.08E+04,7.8,6.59E+04,0,0.00E+00,,,,,,,,,,,,,,,,,,,,,
18,1.07E+08,Spleen ,T8A Primary,Tetramer Stain For Phenotype_M2S_MMW_038.fcs,75.5,93,76.3,71.2,57.4,40.8688,2.34E+07,6.58,1.54E+06,3.95,9.25E+05,10.5,2.46E+06,3.07,7.19E+05,0.44,1.03E+05,2.19,5.13E+05,0.44,1.03E+05,4.82,1.13E+06,0.88,2.06E+05,0,0.00E+00,,,,,,,,,,,,,,,,,,,,,
19,1.17E+07,Lungs,T8A Primary,Tetramer Stain For Phenotype_M3L_MMW_025.fcs,34.4,87.4,76.8,30.6,88,26.928,7.27E+05,7.71,5.61E+04,0.14,1.02E+03,7.3,5.31E+04,0,0.00E+00,0,0.00E+00,0.69,5.02E+03,0.14,1.02E+03,6.47,4.71E+04,7.02,5.11E+04,0,0.00E+00,,,,,,,,,,,,,,,,,,,,,
19,7.10E+07,Spleen ,T8A Primary,Tetramer Stain For Phenotype_M3S_MMW_039.fcs,73.9,93.6,72.1,78.5,60.3,47.3355,1.68E+07,0.88,1.47E+05,0,0.00E+00,4.39,7.36E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,4.39,7.36E+05,0.88,1.47E+05,0,0.00E+00,,,,,,,,,,,,,,,,,,,,,
29,4.00E+05,BAL,T8A Primary,Tetramer Stain For Phenotype_M4BAL_MMW_030.fcs,28.5,93.8,69.9,40.1,100,40.1,3.00E+04,0.57,1.71E+02,0.11,3.30E+01,2.64,7.91E+02,0,0.00E+00,0,0.00E+00,0.23,6.89E+01,0,0.00E+00,2.41,7.22E+02,0.34,1.02E+02,0.11,3.30E+01,,,,,,,,,,,,,,,,,,,,,
29,1.13E+07,Lungs,T8A Primary,Tetramer Stain For Phenotype_M4L_MMW_026.fcs,34.4,80.9,73.8,42.9,76.3,32.7327,7.60E+05,3.38,2.57E+04,0.45,3.42E+03,7.88,5.99E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.45,3.42E+03,7.43,5.64E+04,3.38,2.57E+04,0,0.00E+00,,,,,,,,,,,,,,,,,,,,,
29,5.65E+07,Spleen ,T8A Primary,Tetramer Stain For Phenotype_M4S_MMW_040.fcs,78.4,94.2,74.6,77.9,59.6,46.4284,1.45E+07,2.92,4.22E+05,0,0.00E+00,3.51,5.07E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,3.51,5.07E+05,2.92,4.22E+05,0,0.00E+00,,,,,,,,,,,,,,,,,,,,,
38,4.40E+05,BAL,T8A Primary,Tetramer Stain For Phenotype_M5BAL_MMW_031.fcs,30.7,92.8,70.5,25.5,99.9,25.4745,2.25E+04,0.2,4.50E+01,0.067,1.51E+01,0.74,1.67E+02,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.067,1.51E+01,0.67,1.51E+02,0.2,4.50E+01,0,0.00E+00,,,,,,,,,,,,,,,,,,,,,
38,1.24E+07,Lungs,T8A Primary,Tetramer Stain For Phenotype_M5L_MMW_027.fcs,36.6,83.7,75,37,73.9,27.343,7.79E+05,0.24,1.87E+03,0,0.00E+00,7.82,6.09E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,7.82,6.09E+04,0.24,1.87E+03,0,0.00E+00,,,,,,,,,,,,,,,,,,,,,
38,7.03E+07,Spleen ,T8A Primary,Tetramer Stain For Phenotype_M5S_MMW_041.fcs,72.8,93.4,59.5,77.3,56.2,43.4426,1.24E+07,0.53,6.55E+04,0.53,6.55E+04,1.6,1.98E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,1.6,1.98E+05,0.53,6.55E+04,0.53,6.55E+04,,,,,,,,,,,,,,,,,,,,,
