Mouse ,Cell Count ,Tissue,T8A Primary,Sample:,Lymphocytes,Singlets,Live Cells,F480 B220 Negative ,CD8p_Freq,CD8p_Norm_Freq,CD8p_Num,CD8p_N3ATotal_Freq,CD8p_N3ATotal_Num,CD8p_T8ATotal_Freq,CD8p_T8ATotal_Num,CD8p_WTTotal_Freq,CD8p_WTTotal_Num,CD8p_TriplePos_Freq,CD8p_TriplePos_Num,CD8p_N3AT8ADP_Freq ,CD8p_N3AT8ADP_Num,CD8p_WTN3ADP_Freq ,CD8p_WTN3ADP_Num,CD8p_WTT8ADP_Freq,CD8p_WTT8ADP_Num,CD8p_WTSP_Freq,CD8p_WTSP_Num,CD8p_N3ASP_Freq,CD8p_N3ASP_Num,CD8p_T8ASP_Freq,CD8p_T8ASP_Num
16,1.45E+07,Lungs,T8A Primary,Tetramer Stain For Phenotype_M1L_NTW_018.fcs,37,80.3,65.6,41.8,28.4,11.8712,3.35E+05,1.53,5.13E+03,22.1,7.41E+04,0.76,2.55E+03,0,0.00E+00,0.76,2.55E+03,0,0.00E+00,0.76,2.55E+03,0,0.00E+00,0.76,2.55E+03,20.6,6.91E+04
16,9.49E+07,Spleen ,T8A Primary,Tetramer Stain For Phenotype_M1S_NTW_032.fcs,72.8,86.7,80.8,69.4,25.4,17.6276,8.53E+06,0,0.00E+00,21.6,1.84E+06,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,21.6,1.84E+06
18,1.54E+07,Lungs,T8A Primary,Tetramer Stain For Phenotype_M2L_NTW_019.fcs,35.3,84.8,74.1,29.3,22.8,6.6804,2.28E+05,0,0.00E+00,46.4,1.06E+05,40.8,9.31E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,40.2,9.17E+04,0.56,1.28E+03,0,0.00E+00,6.15,1.40E+04
18,1.07E+08,Spleen ,T8A Primary,Tetramer Stain For Phenotype_M2S_NTW_033.fcs,75.7,93.3,76.5,72.1,16.3,11.7523,6.79E+06,0,0.00E+00,24.3,1.65E+06,18.9,1.28E+06,0,0.00E+00,0,0.00E+00,0,0.00E+00,18.9,1.28E+06,0,0.00E+00,0,0.00E+00,5.41,3.68E+05
19,1.17E+07,Lungs,T8A Primary,Tetramer Stain For Phenotype_M3L_NTW_020.fcs,34.4,85.5,75,27.9,12.7,3.5433,9.14E+04,1.04,9.51E+02,14.6,1.34E+04,8.33,7.62E+03,0,0.00E+00,0,0.00E+00,0,0.00E+00,8.33,7.62E+03,0,0.00E+00,1.04,9.51E+02,6.25,5.72E+03
19,7.10E+07,Spleen ,T8A Primary,Tetramer Stain For Phenotype_M3S_NTW_034.fcs,74.7,93.5,72,78.9,25.3,19.9617,7.13E+06,0,0.00E+00,7.27,5.18E+05,7.27,5.18E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,7.27,5.18E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00
29,4.00E+05,BAL,T8A Primary,Tetramer Stain For Phenotype_M4BAL_NTW_028.fcs,25.5,94.3,66.3,39.1,0,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00
29,1.13E+07,Lungs ,T8A Primary,Tetramer Stain For Phenotype_M4L_NTW_021.fcs,34.4,85.6,73.5,42.6,20.7,8.8182,2.16E+05,0.84,1.81E+03,20.2,4.36E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.84,1.81E+03,20.2,4.36E+04
29,5.65E+07,Spleen ,T8A Primary,Tetramer Stain For Phenotype_M4S_NTW_035.fcs,76.8,93.8,74.9,77.1,19.6,15.1116,4.61E+06,0,0.00E+00,17.9,8.25E+05,1.49,6.86E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,1.49,6.86E+04,0,0.00E+00,17.9,8.25E+05
38,4.40E+05,BAL ,T8A Primary,Tetramer Stain For Phenotype_M5BAL_NTW_029.fcs,31.8,92.8,70.3,87.8,0.098,0.086044,7.85E+01,0,0.00E+00,10,7.85E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,10,7.85E+00
