Challenge,WT,T8A,N3A,WT+T8A,WT+N3A,T8A+N3A,TP,TN
Primary,0.0,0.20626865671641792,0.007611940298507463,0.007611940298507463,0.0,0.007611940298507463,0.0,0.7708955223880597
Primary,0.005614035087719298,0.06140350877192982,0.0,0.4021929824561403,0.0,0.0,0.0,0.5307894736842105
Primary,0.0,0.06258205689277899,0.010404814004376367,0.08336980306345733,0.0,0.0,0.0,0.8436433260393873
Primary,0.0,0.20185185185185187,0.00837962962962963,0.0,0.0,0.0,0.0,0.7897685185185185
Primary,0.007906976744186046,0.03953488372093023,0.0,0.0,0.0,0.0,0.0,0.9525581395348838
Primary,0.0,0.1426872770511296,0.0014030915576694412,0.05802615933412604,0.0,0.000460166468489893,0.000460166468489893,0.7969631391200951
Primary,0.0007606602475928473,0.09270976616231087,0.001499312242090784,0.09628610729023383,0.0,0.001,0.006107290233837689,0.801636863823934
Primary,0.0005786802030456852,0.14111675126903553,0.004096446700507614,0.01751269035532995,0.0,0.0005786802030456852,0.0,0.8361167512690355
Memory,0.004403409090909091,0.0022045454545454547,0.0022045454545454547,0.0022045454545454547,0.0,0.0,0.0,0.9889829545454546
Memory,0.017386363636363637,0.002200757575757576,0.0,0.0065151515151515155,0.0,0.0,0.0,0.9738977272727273
Memory,0.006781609195402299,0.0033946360153256703,0.0,0.0,0.0,0.0,0.0,0.989823754789272
Memory,0.02127049180327869,0.00610655737704918,0.0029959016393442625,0.00610655737704918,0.0,0.0,0.0,0.9635204918032787
WT challenge,0.017741935483870968,0.009216589861751152,0.0006129032258064516,0.2566820276497696,0.0,0.0,0.0018018433179723503,0.7139447004608295
WT challenge,0.00737037037037037,0.12129629629629629,0.0020925925925925925,0.29074074074074074,0.0,0.0,0.0005277777777777777,0.5779722222222222
WT challenge,0.03670613562970936,0.06350914962325081,0.0004703982777179763,0.08557588805166846,0.0004703982777179763,0.0,0.0004703982777179763,0.8127976318622174
WT challenge,0.005802469135802469,0.05734567901234568,0.00018024691358024692,0.22839506172839505,0.0,0.0,0.00027037037037037036,0.7080061728395062
T8A challenge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
T8A challenge,0.002997737556561086,0.08744343891402714,0.04739819004524887,0.038461538461538464,0.0009898190045248868,0.004400452488687783,0.0025,0.8158088235294118
T8A challenge,0.0,0.2404255319148936,0.18865248226950354,0.011347517730496455,0.0,0.11702127659574468,0.006886524822695035,0.43566666666666665
T8A challenge,0.0,0.21471774193548387,0.13407258064516128,0.017641129032258066,0.0,0.08074596774193549,0.0055947580645161294,0.5472278225806452
T8A challenge,0.0,0.21566401816118047,0.1271282633371169,0.011101021566401817,0.0,0.09216799091940976,0.004801362088535755,0.5491373439273552
N3A challenge,0.0003892857142857143,0.0016,0.0023928571428571428,0.0,0.0007857142857142857,0.0,0.0,0.9948321428571428
N3A challenge,0.0016052631578947368,0.001,0.003701754385964912,0.0012017543859649123,0.0,0.0002105263157894737,0.002701754385964912,0.989578947368421
N3A challenge,0.0002704697986577181,0.0002704697986577181,0.012953020134228188,0.0,0.0025033557046979867,0.0,0.0,0.9840026845637584
N3A challenge,0.0021953125,0.00046953125,0.0049921875,0.008515625,0.000309375,0.0,0.00046953125,0.9830484375
N3A challenge,0.00042018779342723004,0.0008497652582159624,0.003403755868544601,0.00042018779342723004,0.003004694835680751,0.0,0.0,0.9919014084507042
