Challenge,WT,T8A,N3A,WT+T8A,WT+N3A,T8A+N3A,TP,TN
Primary,0,69100,2550,2550,0,2550,0,258250
Primary,1280,14000,0,91700,0,0,0,121020
Primary,0,5720,951,7620,0,0,0,77109
Primary,0,43600,1810,0,0,0,0,170590
Primary,2040,10200,0,0,0,0,0,245760
Primary,0,120000,1180,48800,0,387,387,670246
Primary,553,67400,1090,70000,0,727,4440,582790
Primary,114,27800,807,3450,0,114,0,164715
Memory,775,388,388,388,0,0,0,174061
Memory,4590,581,0,1720,0,0,0,257109
Memory,1770,886,0,0,0,0,0,258344
Memory,5190,1490,731,1490,0,0,0,235099
WT challenge,38500,20000,1330,557000,0,0,3910,1549260
WT challenge,7960,131000,2260,314000,0,0,570,624210
WT challenge,34100,59000,437,79500,437,0,437,755089
WT challenge,9400,92900,292,370000,0,0,438,1146970
T8A challenge,0,0,0,0,0,0,0,711000
T8A challenge,2650,77300,41900,34000,875,3890,2210,721175
T8A challenge,0,339000,266000,16000,0,165000,9710,614290
T8A challenge,0,213000,133000,17500,0,80100,5550,542850
T8A challenge,0,190000,112000,9780,0,81200,4230,483790
N3A challenge,545,2240,3350,0,1100,0,0,1392765
N3A challenge,1830,1140,4220,1370,0,240,3080,1128120
N3A challenge,403,403,19300,0,3730,0,0,1466164
N3A challenge,2810,601,6390,10900,396,0,601,1258302
N3A challenge,358,724,2900,358,2560,0,0,845100
