Challenge,WT,T8A,N3A,WT+T8A,WT+N3A,T8A+N3A,TP,TN
Primary,0.006292207792207793,0.13766233766233765,0.0,0.0,0.0,0.0,0.0,0.8560454545454546
Primary,0.004,0.012105263157894737,0.0,0.11315789473684211,0.0,0.0,0.0,0.8707368421052631
Primary,0.0,0.02689655172413793,0.0,0.008896551724137931,0.0,0.0,0.0,0.9642068965517241
Primary,0.0,0.08373983739837398,0.005585365853658536,0.0,0.0,0.0,0.0,0.9106747967479675
Primary,0.005,0.010086206896551724,0.010086206896551724,0.0,0.005,0.0,0.0,0.9698275862068966
Memory,0.001898876404494382,0.0015955056179775282,0.0,0.0003095505617977528,0.0,0.0,0.0,0.9961960674157303
Memory,0.003,0.0025974025974025974,0.0,0.001,0.0,0.0,0.0,0.9934025974025974
Memory,0.0016,0.0032,0.0,0.00072,0.0,0.0,0.0,0.99448
Memory,0.0016012269938650307,0.0013006134969325153,0.00016012269938650307,0.00016012269938650307,0.0,0.0,0.0,0.9967779141104295
Memory,0.009488636363636364,0.0028977272727272727,0.0006306818181818182,0.0013011363636363637,0.0015,0.0,0.0,0.9841818181818182
Memory,0.015964912280701755,0.0028947368421052633,0.0011973684210526316,0.0005789473684210527,0.0017982456140350877,0.0,0.00018947368421052632,0.9773763157894737
Memory,0.008313559322033898,0.0019067796610169492,0.0005211864406779661,0.0007516949152542373,0.0005211864406779661,0.0,0.0,0.987985593220339
WT challenge,0.0019,0.0075,0.0,0.032785714285714286,0.0,0.0,0.0,0.9578142857142857
WT challenge,0.001,0.08344827586206896,0.0,0.04310344827586207,0.0,0.0,0.0,0.872448275862069
WT challenge,0.009642857142857142,0.04357142857142857,0.0,0.019642857142857142,0.0,0.0,3.517857142857143e-05,0.9271076785714286
WT challenge,0.0034973544973544973,0.04857142857142857,0.0,0.05925925925925926,0.0,0.0,0.0,0.8886719576719577
T8A challenge,0.0015081967213114755,0.12540983606557377,0.0,0.00390983606557377,0.0,0.0,0.0,0.869172131147541
T8A challenge,0.0017986577181208054,0.013288590604026845,0.0006208053691275167,0.008926174496644295,0.0,0.0,0.0,0.9753657718120805
T8A challenge,0.0022936507936507935,0.05380952380952381,0.0,0.0077777777777777776,0.0,0.0,0.0,0.9361190476190476
T8A challenge,0.0017063492063492064,0.038174603174603174,0.00042063492063492065,0.0025,0.0,0.0,0.0,0.9571984126984127
T8A challenge,0.0004823008849557522,0.0668141592920354,0.0004823008849557522,0.007699115044247788,0.0,0.0,0.0,0.9245221238938053
N3A challenge,0.0014055944055944055,0.0045174825174825175,0.000986013986013986,0.0019090909090909091,0.0002706293706293706,0.0,0.00036083916083916084,0.9905503496503496
N3A challenge,0.0008906720160481444,0.005707121364092277,0.0006098294884653962,0.000979939819458375,0.0004704112337011033,0.0,0.0001404212637913741,0.9912016048144433
N3A challenge,0.0014067796610169492,0.00511864406779661,0.0003406779661016949,0.0014067796610169492,0.0005118644067796611,0.0,0.00017033898305084745,0.9910449152542373
N3A challenge,0.0,0.001,0.001,0.0,0.001,0.0,0.0,0.997
