Challenge,WT,T8A,N3A,WT+T8A,WT+N3A,T8A+N3A,TP,TN
Primary,96900,2120000,0,0,0,0,0,13183100
Primary,91200,276000,0,2580000,0,0,0,19852800
Primary,0,390000,0,129000,0,0,0,13981000
Primary,0,1030000,68700,0,0,0,0,11201300
Primary,58000,117000,117000,0,58000,0,0,11250000
Memory,33800,28400,0,5510,0,0,0,17732290
Memory,69300,60000,0,23100,0,0,0,22947600
Memory,28000,56000,0,12600,0,0,0,17403400
Memory,26100,21200,2610,2610,0,0,0,16247480
Memory,167000,51000,11100,22900,26400,0,0,17321600
Memory,364000,66000,27300,13200,41000,0,4320,22284180
Memory,98100,22500,6150,8870,6150,0,0,11658230
WT challenge,26600,105000,0,459000,0,0,0,13409400
WT challenge,14500,1210000,0,625000,0,0,0,12650500
WT challenge,162000,732000,0,330000,0,0,591,15575409
WT challenge,66100,918000,0,1120000,0,0,0,16795900
T8A challenge,18400,1530000,0,47700,0,0,0,10603900
T8A challenge,26800,198000,9250,133000,0,0,0,14532950
T8A challenge,28900,678000,0,98000,0,0,0,11795100
T8A challenge,21500,481000,5300,31500,0,0,0,12060700
T8A challenge,10900,1510000,10900,174000,0,0,0,20894200
N3A challenge,20100,64600,14100,27300,3870,0,5160,14164870
N3A challenge,8880,56900,6080,9770,4690,0,1400,9882280
N3A challenge,16600,60400,4020,16600,6040,0,2010,11694330
N3A challenge,0,14200,14200,0,14200,0,0,14157400
