Challenge,WT,T8A,WT+T8A,N3A,WT+N3A,T8A+N3A,TP,TN
Primary,0,1840000,0,0,0,0,0,6690000
Memory,51300,76500,27900,17100,16200,0,0,8811000
WT,21900,18000,457000,0,0,0,1630,1901470
T8A,6110,6860000,102000,6110,0,90500,12000,15523280
N3A,12100,28200,6050,34300,7060,0,4030,10008260
Primary,0,368000,1280000,0,0,0,0,5142000
Memory,2950,4420,0,0,0,0,0,265630
WT,13400,274000,652000,0,0,0,0,2330600
T8A,18100,606000,336000,9160,0,0,0,10330740
N3A,16500,7680,28900,49600,3800,0,15700,8137820
Primary,0,0,518000,0,0,0,0,6612000
Memory,57500,32700,10700,9950,7100,0,0,6982050
WT,113000,223000,346000,0,0,0,0,4458000
T8A,6320,3540000,99100,6320,0,0,0,8748260
N3A,2370,3730,7110,56900,13600,0,469,5835821
Primary,68600,825000,0,0,0,0,0,3716400
WT,76400,383000,1770000,0,1340,0,1340,5647920
T8A,5340,1370000,82700,18900,0,0,0,7133060
N3A,43900,6020,24300,35800,3990,0,0,6645990
Primary,117000,117000,0,0,0,0,0,3386000
T8A,22500,5240000,176000,0,0,0,0,15061500
N3A,2810,2810,2810,17000,19600,0,0,5254970
