Mouse ,Cell_Count ,Tissue,Condition ,Sample:,Lymphocytes,Singlets,Live Cells,F480 B220 Negative ,CD8p_Freq,CD8p_Norm_Freq,CD8p_Num,CD8p_N3ATotal_Freq,CD8p_N3ATotal_Num,CD8p_T8ATotal_Freq,CD8p_T8ATotal_Num,CD8p_WTTotal_Freq,CD8p_WTTotal_Num,CD8p_TriplePos_Freq,CD8p_TriplePos_Num,CD8p_N3AT8ADP_Freq ,CD8p_N3AT8ADP_Num,CD8p_WTN3ADP_Freq ,CD8p_WTN3ADP_Num,CD8p_WTT8ADP_Freq,CD8p_WTT8ADP_Num,WTSP_Freq,WTSP_Num,N3ASP_Freq,N3ASP_Num,T8ASP_Freq,T8ASP_Num
239,2.12E+07,Spleen,WT Primary,Tetramer Stains_M1SNTW_026.fcs,71.9,93.9,76.3,33.1,39.3,13.0083,1.42E+06,1.31,1.86E+04,1.86,2.64E+04,3.67,5.21E+04,0.25,3.55E+03,0.069,9.80E+02,0.99,1.41E+04,0.62,8.81E+03,1.81,2.57E+04,0,0.00E+00,0.93,1.32E+04
240,1.35E+07,Spleen,WT Primary,Tetramer Stains_M2SNTW_027.fcs,77.9,95.4,83.2,33.2,28,9.296,7.76E+05,0.65,5.04E+03,3.06,2.37E+04,5.13,3.98E+04,0.17,1.32E+03,0.096,7.45E+02,0.33,2.56E+03,1.63,1.26E+04,3,2.33E+04,0.058,4.50E+02,1.15,8.92E+03
241,2.60E+07,Spleen,WT Primary,Tetramer Stains_M3SNTW_028.fcs,75,94.4,81.6,35.1,32.2,11.3022,1.70E+06,1.87,3.17E+04,4.27,7.25E+04,6.67,1.13E+05,0.16,2.72E+03,0.073,1.24E+03,1.58,2.68E+04,1.38,2.34E+04,3.54,6.01E+04,0.054,9.17E+02,2.65,4.50E+04
242,9.37E+06,Spleen,WT Primary,Tetramer Stains_M4SNTW_029.fcs,76.8,95,75.5,34.1,23.5,8.0135,4.14E+05,0.63,2.61E+03,1.77,7.32E+03,3.25,1.34E+04,0.19,7.86E+02,0.048,1.99E+02,0.31,1.28E+03,0.36,1.49E+03,2.37,9.80E+03,0.073,3.02E+02,1.16,4.80E+03
243,2.12E+07,Spleen,WT Primary,Tetramer Stains_M5SNTW_030.fcs,74.5,95.9,86.3,40.6,40.6,16.4836,2.15E+06,1.31,2.82E+04,2.46,5.30E+04,6.89,1.48E+05,0.55,1.19E+04,0,0.00E+00,0.76,1.64E+04,1.06,2.28E+04,4.52,9.74E+04,0,0.00E+00,0.85,1.83E+04
239,5.40E+05,BAL,WT Primary,Tetramer Stains_M1BALNTW_036.fcs,69.4,97.8,86.4,95.6,0.22,0.21032,6.66E+02,0,0.00E+00,0,0.00E+00,33.3,2.22E+02,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,33.3,2.22E+02,0,0.00E+00,0,0.00E+00
239,1.23E+07,Lungs,WT Primary,Tetramer Stains_M1LNTW_012.fcs,59.2,94.9,85.8,28.9,16.3,4.7107,2.79E+05,18.7,5.22E+04,2.39,6.68E+03,7.87,2.20E+04,0.52,1.45E+03,0.048,1.34E+02,3.29,9.19E+03,0.48,1.34E+03,3.58,1.00E+04,14.8,4.13E+04,1.34,3.74E+03
240,2.00E+05,BAL,WT Primary,Tetramer Stains_M2BALNTW_022.fcs,54.7,97.1,46,66.3,0.17,0.11271,5.51E+01,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00
240,9.94E+06,Lungs,WT Primary,Tetramer Stains_M2LNTW_013.fcs,41.7,88.3,74.7,49,17,8.33,2.28E+05,8.7,1.98E+04,5.45,1.24E+04,13.4,3.05E+04,0.69,1.57E+03,0.077,1.75E+02,2.45,5.58E+03,3.85,8.77E+03,6.41,1.46E+04,5.49,1.25E+04,0.83,1.89E+03
241,9.12E+06,Lungs,WT Primary,Tetramer Stains_M3LNTW_014.fcs,48.8,92.2,82.3,39.3,19.1,7.5063,2.53E+05,15.4,3.90E+04,6.92,1.75E+04,17.1,4.33E+04,1.4,3.55E+03,0.21,5.32E+02,5.46,1.38E+04,2.78,7.05E+03,7.47,1.89E+04,8.3,2.10E+04,2.53,6.41E+03
