Challenge,WT,T8A,N3A,WT+T8A,WT+N3A,T8A+N3A,TP,TN
Primary,10000,3740,41300,1340,9190,134,1450,211846
Primary,14600,1890,12500,8770,5580,175,1570,182915
Primary,18900,6410,21000,7050,13800,532,3550,181758
Primary,14300,3450,31700,5630,6310,546,3000,276064
Primary,11600,1200,24300,5740,9700,100,5550,137810
Memory,1340,340,0,0,340,0,0,186980
Memory,1540,0,0,0,0,0,0,92260
Memory,3790,0,0,0,351,0,0,229859
Memory,4930,0,0,483,1000,0,0,338587
WT challenge,355000,1250,1250,617000,0,0,2540,972960
WT challenge,145000,15500,31,83900,11900,0,1920,871748
WT challenge,5670,2030,3640,31200,4060,0,3250,67150
WT challenge,110000,259,389,22500,130,0,130,313592
T8A challenge,0,207000,55500,107000,0,10400,15600,598500
T8A challenge,2740,6900,40800,50900,199,2160,31900,695401
T8A challenge,30600,24600,71000,133000,4790,914,51700,1183396
T8A challenge,1310,30500,105000,11700,250,4280,1550,1035410
T8A challenge,5210,48500,152000,54200,1220,8150,80000,990720
T8A challenge,1890,82900,73700,50200,1660,7690,7690,954270
N3A challenge,19800,0,4110,227,135000,0,81400,467463
N3A challenge,263,263,7650,0,0,0,263,68861
N3A challenge,34700,309,10900,14400,43800,0,24100,781791
