Challenge,WT,T8A,N3A,WT+T8A,WT+N3A,T8A+N3A,TP,TN
Primary,0.030774647887323942,0.010915492957746478,9.366197183098592e-05,0.008309859154929577,0.0004697183098591549,9.366197183098592e-05,0.00019014084507042254,0.9491528169014084
Primary,0.05261261261261261,0.00709009009009009,0.0009099099099099099,0.032432432432432434,0.0009099099099099099,0.00011981981981981982,0.0007486486486486487,0.9051765765765766
Primary,0.06160377358490566,0.03924528301886793,0.002292452830188679,0.016132075471698114,0.002688679245283019,0.00021886792452830187,0.00043867924528301886,0.8773801886792453
Primary,0.02544642857142857,0.011875,0.0019910714285714284,0.013482142857142857,0.0008875,0.0001794642857142857,0.0008276785714285714,0.9453107142857143
Primary,0.03361344537815126,0.010294117647058823,0.0014985994397759103,0.01,0.0014985994397759103,0.00028011204481792715,0.00014005602240896358,0.9426750700280112
Memory,0.033545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.9664545454545455
Memory,0.005103189493433396,0.00032082551594746716,0.001300187617260788,0.0,0.0009606003752345216,0.0,0.0,0.9923151969981239
Memory,0.039917355371900824,0.0,0.002892561983471074,0.0,0.0,0.0,0.0,0.9571900826446281
Memory,0.03625,0.002806818181818182,0.0,0.002806818181818182,0.013920454545454545,0.0,0.0,0.9442159090909091
WT challenge,0.22777777777777777,0.0006972222222222222,0.0015925925925925925,0.28703703703703703,0.00962962962962963,0.0,0.010092592592592592,0.46317314814814814
WT challenge,0.025174825174825177,2.20979020979021e-05,0.0015034965034965036,0.015174825174825175,0.002104895104895105,0.0,8.81118881118881e-05,0.9559317482517482
WT challenge,0.09593023255813954,0.011700581395348837,0.0032994186046511626,0.2369186046511628,0.022965116279069768,5.901162790697675e-05,0.02747093023255814,0.6016561046511628
WT challenge,0.2615079365079365,0.0018968253968253967,0.0001,0.037658730158730155,0.0032936507936507935,0.0,0.0003595238095238095,0.6951833333333334
T8A challenge,0.12241379310344827,0.0007508620689655173,0.048362068965517244,0.09310344827586207,0.00045,0.0060086206896551725,0.015086206896551725,0.713825
T8A challenge,0.009299691040164778,0.0067044284243048405,0.0203913491246138,0.050051493305870234,0.0039031925849639547,0.0012049433573635428,0.010401647785787848,0.898043254376931
T8A challenge,0.017166866746698678,0.011500600240096038,0.026770708283313325,0.07587034813925571,0.001099639855942377,0.0009099639855942377,0.03577430972388956,0.8309075630252101
T8A challenge,0.0006696132596685083,0.006696132596685083,0.05082872928176796,0.0018011049723756906,2.7955801104972377e-05,0.0003602209944751381,0.00027955801104972375,0.9393366850828729
T8A challenge,0.001503006012024048,0.011723446893787575,0.09549098196392786,0.021442885771543085,0.00026953907815631265,0.002394789579158317,0.0343687374749499,0.8328066132264529
T8A challenge,0.0016043956043956043,0.026153846153846153,0.05373626373626374,0.026483516483516482,0.0007197802197802198,0.0027032967032967034,0.006505494505494505,0.8820934065934066
N3A challenge,0.012901639344262295,0.0004098360655737705,0.00480327868852459,0.0034098360655737707,0.06491803278688525,7.475409836065574e-05,0.05508196721311476,0.858400655737705
N3A challenge,0.012495840266222961,0.0005690515806988353,0.13594009983361066,0.0005291181364392678,0.010898502495840266,0.00017970049916805325,0.0012995008319467555,0.8380881863560732
N3A challenge,0.012891113892365457,0.000739674593241552,0.02690863579474343,0.005294117647058823,0.03216520650813517,7.822277847309137e-05,0.025156445556946183,0.8967665832290362
